Version.[Version Name],Location.[Location],Sales Domain.[Customer Group],Time.[Day],Item.[Item],D Base Forecast LC,D Base Forecast Quantity,D Base Forecast Supply Code,D Buff1 Forecast Quantity,D Buff2 Forecast Quantity,D Forecast Delivery Policy,D Forecast Early Capacity Layer Least,D Forecast Early Capacity Layer Max,D Forecast Fixed Stock Consumption Early Date,D Forecast Fixed Stock Consumption Late Date,D Forecast Force ICMP,D Forecast Is Fixed,D Forecast Is No Fair Share,D Forecast Late Capacity Layer Least,D Forecast Late Capacity Layer Max,D Forecast Quantity Policy,D Forecast Reduce Lead Time,D Is Stock Redevour Forecast
OP_Plan_2025,DC-Shanghai-CN,DTC-Stores-EMEA,2025-02-03,NK-FREE-RN-NVY-13,11002.5,158,SUPP-03,16,4,Economy,94,142,2025-01-31,2025-02-07,0,0,1,110,158,Fixed,1,0
OP_Plan_2025,DC-Tokyo-JP,Wholesale-MEA,2025-07-21,NK-AIR-MAX-GRY-L,388149.14,2016,SUPP-02,291,56,Priority,1209,1814,2025-07-15,2025-07-22,0,1,0,1411,2016,Capped,0,0
OP_Plan_2025,DC-Tokyo-JP,DTC-eComm-EMEA,2025-11-24,NK-BLAZER-GRY-S,193200.96,2031,SUPP-03,257,84,Standard,1218,1827,2025-11-18,2025-11-27,0,0,0,1421,2031,Min-Max,1,0
Baseline_v2,DC-Sao-Paulo-BR,Wholesale-MEA,2025-10-20,NK-BLAZER-BLK-M,361198.78,1749,SUPP-04,235,90,Standard,1049,1574,2025-10-17,2025-10-21,0,0,1,1224,1749,Min-Max,0,0
Baseline_v2,DC-Laakdal-BE,DTC-eComm-EMEA,2025-09-08,NK-FREE-RN-WHT-S,468414.11,2473,SUPP-05,168,134,Economy,1483,2225,2025-09-05,2025-09-12,0,0,0,1731,2473,Fixed,1,0
Consensus_v1,DC-Laakdal-BE,DTC-eComm-EMEA,2025-06-16,NK-VAPORFLY-OGR-XXL,10676.61,58,SUPP-03,7,2,Priority,34,52,2025-06-12,2025-06-17,0,0,1,40,58,Capped,0,0
Baseline_v2,DC-Sao-Paulo-BR,Wholesale-NA,2025-08-11,NK-CORTEZ-BLK-11,13212.34,137,SUPP-04,14,9,Economy,82,123,2025-08-07,2025-08-13,0,0,0,95,137,Fixed,0,0
Baseline_v2,DC-Dubai-UAE,DTC-Stores-EMEA,2025-08-25,NK-LEBRON-NVY-S,248326.03,1617,SUPP-01,191,108,Economy,970,1455,2025-08-19,2025-08-27,0,1,0,1131,1617,Capped,0,0
Consensus_v1,DC-Laakdal-BE,Wholesale-APAC,2025-10-13,NK-AIR-FORCE-GLD-13,458006.73,1873,SUPP-05,275,116,Standard,1123,1685,2025-10-08,2025-10-15,0,0,1,1311,1873,Capped,0,0
Consensus_v1,DC-Portland-OR,DTC-Stores-EMEA,2025-04-28,NK-REACT-PPL-8,376490.11,2913,SUPP-05,200,203,Economy,1747,2621,2025-04-23,2025-05-02,0,0,0,2039,2913,Flexible,0,0
OP_Plan_2025,DC-Portland-OR,DTC-eComm-NA,2025-08-11,NK-BLAZER-RED-M,371209.59,2329,SUPP-04,299,100,Priority,1397,2096,2025-08-06,2025-08-14,0,0,0,1630,2329,Fixed,0,0
Consensus_v2,DC-Dubai-UAE,Wholesale-LATAM,2025-09-15,NK-KD-GRY-12,83066.49,366,SUPP-03,41,23,Express,219,329,2025-09-12,2025-09-16,0,0,0,256,366,Flexible,0,0
OP_Plan_2025,DC-Sao-Paulo-BR,DTC-eComm-EMEA,2025-12-08,NK-JORDAN-RED-L,105139.51,526,SUPP-02,66,17,Standard,315,473,2025-12-03,2025-12-12,0,0,1,368,526,Fixed,0,1
OP_Plan_2025,DC-Memphis-TN,DTC-eComm-NA,2025-12-01,NK-METCON-PPL-M,77674.29,1023,SUPP-04,124,51,Economy,613,920,2025-11-28,2025-12-02,1,0,0,716,1023,Flexible,1,0
OP_Plan_2025,DC-Shanghai-CN,Retail-EMEA,2025-01-13,NK-SHORT-DRI-NVY-L,666127.4,2797,SUPP-05,325,202,Standard,1678,2517,2025-01-08,2025-01-14,0,0,0,1957,2797,Flexible,0,0
Baseline_v1,DC-Portland-OR,DTC-eComm-EMEA,2025-11-17,NK-LEBRON-NVY-M,116456.92,590,SUPP-02,87,38,Express,354,531,2025-11-12,2025-11-18,0,1,0,413,590,Capped,0,0
Baseline_v2,DC-Shanghai-CN,DTC-Stores-NA,2025-11-10,NK-KD-GRY-M,70859.56,334,SUPP-01,28,12,Express,200,300,2025-11-04,2025-11-14,1,1,0,233,334,Capped,0,0
Baseline_v1,DC-Johannesburg-ZA,Retail-EMEA,2025-09-01,NK-REACT-GRY-XL,696637.49,2465,SUPP-01,366,99,Standard,1479,2218,2025-08-28,2025-09-02,0,1,0,1725,2465,Flexible,1,0
Baseline_v1,DC-Memphis-TN,DTC-Stores-EMEA,2025-05-26,NK-AIR-MAX-RED-10,325459.68,2815,SUPP-01,328,99,Express,1689,2533,2025-05-20,2025-05-30,0,1,0,1970,2815,Flexible,0,0
Baseline_v1,DC-Portland-OR,DTC-eComm-EMEA,2025-10-27,NK-REACT-NVY-10,260187.13,1796,SUPP-05,265,77,Express,1077,1616,2025-10-23,2025-10-30,0,0,0,1257,1796,Flexible,0,0
Consensus_v2,DC-Laakdal-BE,Retail-APAC,2025-01-20,NK-METCON-WHT-9,285711.08,1232,SUPP-02,98,42,Standard,739,1108,2025-01-17,2025-01-24,0,1,0,862,1232,Fixed,0,0
Consensus_v1,DC-Portland-OR,Wholesale-APAC,2025-04-21,NK-VAPORFLY-BLU-S,203052.27,1246,SUPP-03,68,63,Economy,747,1121,2025-04-17,2025-04-22,1,0,1,872,1246,Flexible,1,0
Baseline_v1,DC-Dubai-UAE,Wholesale-NA,2025-04-07,NK-FREE-RN-NVY-9,223908.89,2489,SUPP-04,269,159,Standard,1493,2240,2025-04-04,2025-04-11,0,1,0,1742,2489,Capped,0,0
OP_Plan_2025,DC-Portland-OR,Wholesale-NA,2025-11-10,NK-REACT-WHT-9,265000.85,1209,SUPP-03,113,24,Economy,725,1088,2025-11-06,2025-11-14,0,0,0,846,1209,Min-Max,0,0
OP_Plan_2025,DC-Memphis-TN,Wholesale-LATAM,2025-09-15,NK-HUARACHE-WHT-XXL,185393.46,2820,SUPP-05,162,89,Priority,1692,2538,2025-09-11,2025-09-17,0,0,0,1973,2820,Min-Max,0,0
Baseline_v1,DC-Dubai-UAE,Retail-APAC,2025-12-15,NK-BLAZER-BLK-S,762628.74,2956,SUPP-05,247,191,Economy,1773,2660,2025-12-11,2025-12-18,0,1,0,2069,2956,Capped,1,0
Baseline_v1,DC-Tokyo-JP,DTC-eComm-NA,2025-06-02,NK-LEGGING-EPIC-BLK-M,220821.9,2897,SUPP-02,193,93,Express,1738,2607,2025-05-29,2025-06-03,0,0,0,2027,2897,Flexible,0,1
Consensus_v1,DC-Memphis-TN,DTC-Stores-EMEA,2025-06-30,NK-LEBRON-NVY-12,407633.92,1491,SUPP-01,96,116,Economy,894,1341,2025-06-27,2025-07-01,1,0,1,1043,1491,Min-Max,0,1
Consensus_v2,DC-Shanghai-CN,Retail-EMEA,2025-11-10,NK-REACT-RED-S,170260.33,890,SUPP-01,61,22,Express,534,801,2025-11-04,2025-11-13,1,1,0,623,890,Flexible,0,0
Baseline_v2,DC-Shanghai-CN,Wholesale-LATAM,2025-01-27,NK-ALPHAFLY-GRY-13,282661.21,2342,SUPP-03,345,158,Standard,1405,2107,2025-01-21,2025-01-29,0,1,0,1639,2342,Fixed,1,0
Baseline_v1,DC-Tokyo-JP,DTC-Stores-EMEA,2025-08-11,NK-ZOOM-PEGA-RED-11,175796.28,1488,SUPP-05,180,104,Standard,892,1339,2025-08-07,2025-08-14,0,0,0,1041,1488,Fixed,0,0
Consensus_v1,DC-Johannesburg-ZA,DTC-eComm-EMEA,2025-03-03,NK-JACKET-WIND-RED-L,384022.76,2714,SUPP-02,147,126,Standard,1628,2442,2025-02-28,2025-03-04,1,1,0,1899,2714,Flexible,1,0
Consensus_v1,DC-Johannesburg-ZA,Wholesale-APAC,2025-10-27,NK-ALPHAFLY-NVY-S,278667.08,1311,SUPP-01,121,97,Standard,786,1179,2025-10-24,2025-10-28,0,0,0,917,1311,Fixed,1,0
Consensus_v2,DC-Laakdal-BE,DTC-eComm-NA,2025-05-19,NK-ZOOM-PEGA-BLK-12,61988.37,450,SUPP-02,64,9,Priority,270,405,2025-05-13,2025-05-23,1,0,0,315,450,Min-Max,0,0
Baseline_v1,DC-Tokyo-JP,Retail-APAC,2025-08-11,NK-AIR-FORCE-NVY-12,708533.13,2895,SUPP-03,259,133,Standard,1737,2605,2025-08-08,2025-08-13,0,0,1,2026,2895,Flexible,0,0
Consensus_v1,DC-Memphis-TN,DTC-eComm-EMEA,2025-09-15,NK-METCON-OGR-XL,244832.83,1020,SUPP-02,145,28,Standard,612,918,2025-09-09,2025-09-19,0,0,0,714,1020,Capped,0,0
OP_Plan_2025,DC-Tokyo-JP,Retail-APAC,2025-05-05,NK-DUNK-WHT-XL,363038.14,2899,SUPP-02,325,189,Priority,1739,2609,2025-05-02,2025-05-08,0,0,0,2029,2899,Min-Max,1,0
Consensus_v1,DC-Shanghai-CN,Wholesale-MEA,2025-12-15,NK-SHORT-DRI-BLK-S,771236.33,2647,SUPP-03,277,125,Economy,1588,2382,2025-12-09,2025-12-19,0,0,0,1852,2647,Min-Max,0,0
Baseline_v1,DC-Memphis-TN,DTC-Stores-NA,2025-12-22,NK-LEBRON-NVY-9,116434.8,984,SUPP-01,117,48,Priority,590,885,2025-12-17,2025-12-25,1,0,0,688,984,Fixed,1,0
Baseline_v2,DC-Tokyo-JP,DTC-eComm-EMEA,2025-12-08,NK-AIR-FORCE-PPL-XXL,382986.15,1557,SUPP-01,92,59,Standard,934,1401,2025-12-05,2025-12-11,0,0,0,1089,1557,Capped,1,0
Consensus_v2,DC-Shanghai-CN,Wholesale-MEA,2025-04-14,NK-ZOOM-PEGA-BLK-12,342237.35,2184,SUPP-05,326,71,Priority,1310,1965,2025-04-11,2025-04-18,0,0,0,1528,2184,Fixed,1,0
OP_Plan_2025,DC-Shanghai-CN,DTC-eComm-NA,2025-07-07,NK-FREE-RN-WHT-13,85749.87,659,SUPP-01,91,39,Economy,395,593,2025-07-03,2025-07-09,0,1,0,461,659,Capped,0,0
OP_Plan_2025,DC-Shanghai-CN,Wholesale-MEA,2025-02-24,NK-BLAZER-WHT-M,149311.7,1078,SUPP-05,62,84,Standard,646,970,2025-02-18,2025-02-28,1,0,1,754,1078,Min-Max,1,0
Consensus_v1,DC-Sao-Paulo-BR,DTC-Stores-EMEA,2025-12-08,NK-METCON-RED-S,149222.32,756,SUPP-02,43,36,Standard,453,680,2025-12-02,2025-12-09,0,1,0,529,756,Flexible,0,0
OP_Plan_2025,DC-Johannesburg-ZA,Wholesale-MEA,2025-03-24,NK-HUARACHE-BLU-9,161257.52,1331,SUPP-05,128,28,Express,798,1197,2025-03-21,2025-03-26,0,0,0,931,1331,Min-Max,0,0
OP_Plan_2025,DC-Portland-OR,Wholesale-NA,2025-06-16,NK-VAPORFLY-NVY-13,451422.62,1954,SUPP-03,152,115,Standard,1172,1758,2025-06-13,2025-06-17,0,0,0,1367,1954,Fixed,0,0
Baseline_v1,DC-Laakdal-BE,Wholesale-LATAM,2025-01-13,NK-ZOOM-PEGA-WHT-XXL,244508.31,1413,SUPP-04,81,46,Priority,847,1271,2025-01-10,2025-01-16,1,0,0,989,1413,Fixed,0,0
Consensus_v2,DC-Shanghai-CN,DTC-Stores-EMEA,2025-06-30,NK-KD-WHT-7,162255.11,2229,SUPP-01,143,178,Express,1337,2006,2025-06-25,2025-07-04,0,0,0,1560,2229,Capped,0,0
Consensus_v1,DC-Dubai-UAE,DTC-eComm-EMEA,2025-10-13,NK-FREE-RN-GRN-12,146955.68,2077,SUPP-02,276,114,Standard,1246,1869,2025-10-10,2025-10-17,1,0,0,1453,2077,Capped,0,0
Consensus_v1,DC-Tokyo-JP,DTC-Stores-NA,2025-10-20,NK-BACKPACK-BRSLA-NVY,61630.75,237,SUPP-04,33,16,Express,142,213,2025-10-14,2025-10-23,0,0,0,165,237,Fixed,0,0
Baseline_v2,DC-Tokyo-JP,Retail-APAC,2025-09-01,NK-HUARACHE-BLK-13,131254.68,626,SUPP-01,46,19,Standard,375,563,2025-08-27,2025-09-02,1,1,0,438,626,Capped,0,0
OP_Plan_2025,DC-Memphis-TN,Wholesale-MEA,2025-11-03,NK-AIR-FORCE-PPL-12,419683.04,2200,SUPP-02,206,107,Standard,1320,1980,2025-10-29,2025-11-04,0,0,1,1540,2200,Capped,1,0
Baseline_v1,DC-Dubai-UAE,Wholesale-APAC,2025-10-27,NK-HUARACHE-BLU-S,416001.37,2088,SUPP-02,245,56,Economy,1252,1879,2025-10-24,2025-10-30,0,0,0,1461,2088,Flexible,0,0
Consensus_v1,DC-Dubai-UAE,Retail-EMEA,2025-04-14,NK-DUNK-WHT-9,708857.68,2574,SUPP-03,284,52,Express,1544,2316,2025-04-09,2025-04-18,0,0,0,1801,2574,Fixed,1,0
Baseline_v1,DC-Shanghai-CN,Retail-EMEA,2025-05-19,NK-KD-GLD-12,24547.67,262,SUPP-04,38,13,Priority,157,235,2025-05-16,2025-05-22,0,0,0,183,262,Capped,1,0
OP_Plan_2025,DC-Johannesburg-ZA,DTC-eComm-EMEA,2025-03-10,NK-JOGGER-TECH-WHT-M,99820.56,420,SUPP-03,38,11,Express,252,378,2025-03-05,2025-03-11,1,0,0,294,420,Min-Max,0,0
Consensus_v2,DC-Sao-Paulo-BR,Retail-EMEA,2025-07-28,NK-FREE-RN-BLK-9,833832.48,2843,SUPP-05,293,160,Economy,1705,2558,2025-07-23,2025-07-30,0,0,0,1990,2843,Min-Max,0,0
OP_Plan_2025,DC-Laakdal-BE,DTC-Stores-EMEA,2025-05-12,NK-METCON-OGR-13,529139.98,1990,SUPP-01,250,96,Express,1194,1791,2025-05-08,2025-05-14,0,0,0,1393,1990,Fixed,0,0
OP_Plan_2025,DC-Tokyo-JP,Wholesale-MEA,2025-02-24,NK-LEBRON-BLU-XXL,76576.45,901,SUPP-05,46,18,Express,540,810,2025-02-21,2025-02-27,0,0,0,630,901,Flexible,0,0
Consensus_v2,DC-Memphis-TN,Wholesale-MEA,2025-01-13,NK-ALPHAFLY-BLK-XXL,127010.74,877,SUPP-03,83,27,Express,526,789,2025-01-10,2025-01-17,0,0,0,613,877,Capped,1,0
Consensus_v2,DC-Memphis-TN,Wholesale-APAC,2025-08-25,NK-TEE-PRO-GRY-L,618165.81,2356,SUPP-03,331,173,Economy,1413,2120,2025-08-19,2025-08-26,0,0,1,1649,2356,Min-Max,0,0
OP_Plan_2025,DC-Sao-Paulo-BR,Wholesale-APAC,2025-12-08,NK-JORDAN-WHT-L,402500.32,2023,SUPP-05,117,157,Economy,1213,1820,2025-12-03,2025-12-11,1,0,0,1416,2023,Flexible,0,1
Consensus_v1,DC-Dubai-UAE,DTC-eComm-NA,2025-11-24,NK-HUARACHE-PPL-7,10331.68,85,SUPP-04,5,4,Express,51,76,2025-11-18,2025-11-25,0,0,0,59,85,Flexible,0,0
OP_Plan_2025,DC-Dubai-UAE,Wholesale-APAC,2025-03-03,NK-ALPHAFLY-BLK-XXL,100018.61,1147,SUPP-01,83,36,Economy,688,1032,2025-02-25,2025-03-07,0,1,0,802,1147,Fixed,0,0
Baseline_v1,DC-Dubai-UAE,Wholesale-LATAM,2025-07-07,NK-KD-BLK-9,88018.1,346,SUPP-04,51,20,Standard,207,311,2025-07-01,2025-07-11,0,1,0,242,346,Flexible,0,0
OP_Plan_2025,DC-Memphis-TN,DTC-eComm-EMEA,2025-08-04,NK-AIR-MAX-BLU-7,69259.95,256,SUPP-02,32,18,Economy,153,230,2025-07-29,2025-08-08,0,1,0,179,256,Min-Max,0,0
Consensus_v1,DC-Portland-OR,DTC-Stores-EMEA,2025-05-12,NK-REACT-GRN-XXL,33928.66,187,SUPP-04,22,4,Express,112,168,2025-05-06,2025-05-14,0,0,0,130,187,Min-Max,0,0
OP_Plan_2025,DC-Sao-Paulo-BR,DTC-Stores-NA,2025-06-09,NK-AIR-FORCE-GRN-13,132704.02,704,SUPP-01,76,51,Standard,422,633,2025-06-03,2025-06-13,0,0,1,492,704,Capped,0,0
OP_Plan_2025,DC-Sao-Paulo-BR,DTC-Stores-EMEA,2025-07-14,NK-CORTEZ-BLK-L,409166.08,1957,SUPP-02,277,57,Priority,1174,1761,2025-07-11,2025-07-15,0,0,1,1369,1957,Capped,0,0
Consensus_v2,DC-Shanghai-CN,Wholesale-LATAM,2025-09-15,NK-FREE-RN-GRN-M,645624.37,2483,SUPP-03,163,164,Express,1489,2234,2025-09-10,2025-09-19,0,0,0,1738,2483,Min-Max,1,0
Baseline_v2,DC-Sao-Paulo-BR,DTC-eComm-NA,2025-03-03,NK-LEGGING-EPIC-WHT-XL,331267.04,1421,SUPP-03,202,70,Express,852,1278,2025-02-25,2025-03-07,1,1,0,994,1421,Fixed,0,0
Consensus_v1,DC-Dubai-UAE,DTC-Stores-NA,2025-08-25,NK-VAPORFLY-BLU-12,163120.48,2196,SUPP-05,275,111,Express,1317,1976,2025-08-19,2025-08-28,0,0,0,1537,2196,Fixed,0,1
Baseline_v2,DC-Dubai-UAE,Wholesale-APAC,2025-02-03,NK-AIR-FORCE-GRY-S,114692.87,386,SUPP-04,34,24,Economy,231,347,2025-01-28,2025-02-05,0,0,0,270,386,Min-Max,0,0
Consensus_v2,DC-Shanghai-CN,Wholesale-NA,2025-08-25,NK-CORTEZ-PPL-XXL,357236.31,2596,SUPP-01,214,173,Express,1557,2336,2025-08-21,2025-08-28,0,0,0,1817,2596,Flexible,0,0
Consensus_v2,DC-Dubai-UAE,Wholesale-MEA,2025-04-21,NK-BLAZER-GRN-7,453841.57,1583,SUPP-05,134,34,Priority,949,1424,2025-04-17,2025-04-25,0,1,1,1108,1583,Min-Max,0,0
Consensus_v1,DC-Dubai-UAE,Retail-APAC,2025-02-03,NK-CORTEZ-GLD-S,315862.19,2204,SUPP-04,217,57,Economy,1322,1983,2025-01-30,2025-02-06,0,0,0,1542,2204,Capped,0,0
Baseline_v1,DC-Johannesburg-ZA,Retail-EMEA,2025-02-03,NK-LEBRON-BLU-8,627339.45,2414,SUPP-02,313,107,Standard,1448,2172,2025-01-30,2025-02-05,0,0,1,1689,2414,Flexible,0,0
Baseline_v1,DC-Tokyo-JP,Wholesale-LATAM,2025-03-17,NK-DUNK-GRN-M,168874.92,713,SUPP-02,66,51,Priority,427,641,2025-03-13,2025-03-19,0,0,0,499,713,Flexible,0,0
Consensus_v2,DC-Johannesburg-ZA,DTC-eComm-EMEA,2025-09-08,NK-METCON-NVY-10,210333.02,2968,SUPP-03,246,82,Priority,1780,2671,2025-09-02,2025-09-12,0,0,0,2077,2968,Fixed,0,0
Baseline_v2,DC-Laakdal-BE,Wholesale-MEA,2025-01-13,NK-AIR-FORCE-BLK-XL,461082.54,2917,SUPP-03,208,150,Express,1750,2625,2025-01-09,2025-01-14,0,0,0,2041,2917,Fixed,0,0
Baseline_v2,DC-Johannesburg-ZA,DTC-Stores-EMEA,2025-07-21,NK-CORTEZ-GRY-XL,290227.47,1044,SUPP-03,95,61,Standard,626,939,2025-07-18,2025-07-23,0,0,0,730,1044,Min-Max,0,1
OP_Plan_2025,DC-Portland-OR,Wholesale-NA,2025-11-17,NK-LEBRON-GRY-11,178054.52,2768,SUPP-02,174,66,Economy,1660,2491,2025-11-13,2025-11-20,0,0,0,1937,2768,Flexible,0,0
OP_Plan_2025,DC-Memphis-TN,Retail-EMEA,2025-12-08,NK-KD-WHT-S,530140.44,2084,SUPP-05,162,142,Economy,1250,1875,2025-12-04,2025-12-11,0,1,0,1458,2084,Min-Max,0,0
Baseline_v1,DC-Laakdal-BE,DTC-eComm-NA,2025-10-13,NK-METCON-BLU-S,106269.52,1597,SUPP-01,91,112,Economy,958,1437,2025-10-09,2025-10-15,0,0,0,1117,1597,Fixed,0,0
Consensus_v1,DC-Memphis-TN,Retail-EMEA,2025-09-22,NK-JORDAN-NVY-XL,139289.93,2126,SUPP-05,228,82,Standard,1275,1913,2025-09-18,2025-09-26,0,1,0,1488,2126,Min-Max,0,0
OP_Plan_2025,DC-Laakdal-BE,DTC-eComm-EMEA,2025-04-21,NK-AIR-MAX-PPL-M,286049.13,1430,SUPP-02,77,111,Express,858,1287,2025-04-17,2025-04-24,0,1,0,1000,1430,Capped,1,0
Consensus_v2,DC-Johannesburg-ZA,Wholesale-LATAM,2025-09-15,NK-REACT-RED-M,352147.6,2600,SUPP-01,300,196,Economy,1560,2340,2025-09-10,2025-09-19,0,0,1,1819,2600,Capped,0,0
Baseline_v2,DC-Sao-Paulo-BR,Retail-APAC,2025-04-07,NK-KD-GRY-XL,242899.72,2519,SUPP-03,273,105,Priority,1511,2267,2025-04-02,2025-04-09,0,0,1,1763,2519,Min-Max,0,0
Baseline_v1,DC-Portland-OR,Wholesale-NA,2025-06-09,NK-FREE-RN-GRY-13,254226.68,1039,SUPP-04,152,42,Economy,623,935,2025-06-06,2025-06-13,0,0,1,727,1039,Min-Max,0,0
Consensus_v1,DC-Laakdal-BE,Retail-EMEA,2025-09-08,NK-REACT-GLD-XXL,69316.04,273,SUPP-01,29,10,Economy,163,245,2025-09-04,2025-09-09,0,1,0,191,273,Fixed,0,0
Consensus_v2,DC-Johannesburg-ZA,Wholesale-MEA,2025-08-18,NK-LEGGING-EPIC-WHT-M,78842.78,490,SUPP-04,40,33,Priority,294,441,2025-08-13,2025-08-20,0,0,0,343,490,Flexible,0,0
Consensus_v2,DC-Dubai-UAE,Wholesale-LATAM,2025-03-31,NK-JORDAN-GLD-M,598335.61,2474,SUPP-02,245,165,Express,1484,2226,2025-03-25,2025-04-02,0,1,0,1731,2474,Fixed,0,0
Baseline_v2,DC-Johannesburg-ZA,DTC-Stores-NA,2025-12-29,NK-CORTEZ-RED-10,220195.3,2330,SUPP-05,225,50,Express,1398,2097,2025-12-25,2026-01-01,0,0,0,1631,2330,Flexible,0,0
Baseline_v1,DC-Memphis-TN,DTC-eComm-NA,2025-07-28,NK-DUNK-GLD-S,553888.2,2998,SUPP-04,320,226,Economy,1798,2698,2025-07-22,2025-07-29,0,0,0,2098,2998,Fixed,0,0
Baseline_v1,DC-Johannesburg-ZA,DTC-eComm-EMEA,2025-10-13,NK-JORDAN-PPL-XXL,465962.53,2003,SUPP-05,195,70,Economy,1201,1802,2025-10-09,2025-10-17,0,0,0,1402,2003,Capped,0,0
Consensus_v2,DC-Tokyo-JP,Wholesale-MEA,2025-04-21,NK-KD-NVY-10,587771.34,2162,SUPP-01,235,93,Priority,1297,1945,2025-04-18,2025-04-25,0,1,0,1513,2162,Min-Max,1,0
Baseline_v1,DC-Dubai-UAE,Wholesale-APAC,2025-04-21,NK-DUNK-OGR-7,208137.31,1958,SUPP-03,196,143,Standard,1174,1762,2025-04-16,2025-04-24,0,0,0,1370,1958,Fixed,0,0
Consensus_v1,DC-Johannesburg-ZA,Retail-EMEA,2025-10-06,NK-LEBRON-PPL-10,757268.7,2560,SUPP-05,334,197,Economy,1536,2304,2025-10-02,2025-10-08,0,0,0,1792,2560,Fixed,0,0
Baseline_v1,DC-Laakdal-BE,DTC-Stores-NA,2025-09-22,NK-HUARACHE-OGR-11,759984.62,2699,SUPP-03,168,215,Express,1619,2429,2025-09-16,2025-09-25,0,0,0,1889,2699,Capped,0,0
Baseline_v1,DC-Portland-OR,Wholesale-LATAM,2025-05-26,NK-KD-BLU-M,552540.3,2112,SUPP-05,220,158,Priority,1267,1900,2025-05-21,2025-05-27,0,0,0,1478,2112,Flexible,1,0
Baseline_v1,DC-Portland-OR,DTC-eComm-NA,2025-03-17,NK-AIR-MAX-WHT-12,169699.53,1664,SUPP-04,160,48,Standard,998,1497,2025-03-12,2025-03-19,0,0,0,1164,1664,Capped,0,0
Baseline_v2,DC-Laakdal-BE,DTC-Stores-NA,2025-02-03,NK-HUARACHE-NVY-M,421806.69,1602,SUPP-04,162,118,Economy,961,1441,2025-01-31,2025-02-05,0,0,0,1121,1602,Min-Max,1,0
Baseline_v2,DC-Laakdal-BE,DTC-Stores-EMEA,2025-01-20,NK-JOGGER-TECH-RED-L,215734.55,1313,SUPP-03,150,83,Standard,787,1181,2025-01-14,2025-01-24,0,0,0,919,1313,Capped,1,0
Baseline_v1,DC-Dubai-UAE,Wholesale-APAC,2025-08-18,NK-DUNK-BLU-10,103430.03,671,SUPP-04,62,40,Priority,402,603,2025-08-13,2025-08-19,0,1,0,469,671,Min-Max,0,0
Consensus_v2,DC-Tokyo-JP,Wholesale-NA,2025-04-07,NK-DUNK-OGR-S,602626.68,2957,SUPP-05,161,183,Express,1774,2661,2025-04-02,2025-04-10,0,1,0,2069,2957,Capped,1,0
Baseline_v1,DC-Sao-Paulo-BR,Wholesale-LATAM,2025-03-24,NK-SPORTS-BRA-INDY-BLK-M,323851.54,2008,SUPP-02,171,114,Priority,1204,1807,2025-03-20,2025-03-28,0,0,0,1405,2008,Capped,0,0
Consensus_v2,DC-Memphis-TN,Wholesale-NA,2025-01-06,NK-AIR-FORCE-GRY-L,34354.51,343,SUPP-04,22,23,Standard,205,308,2025-01-03,2025-01-10,0,0,0,240,343,Fixed,0,0
OP_Plan_2025,DC-Laakdal-BE,Wholesale-MEA,2025-11-10,NK-CORTEZ-RED-XXL,358213.28,1508,SUPP-01,173,89,Economy,904,1357,2025-11-06,2025-11-12,0,0,0,1055,1508,Fixed,0,0
Baseline_v2,DC-Laakdal-BE,Wholesale-MEA,2025-08-18,NK-VAPORFLY-BLU-XL,183745.36,1421,SUPP-05,187,61,Economy,852,1278,2025-08-15,2025-08-22,0,1,1,994,1421,Min-Max,1,0
Consensus_v2,DC-Portland-OR,Retail-EMEA,2025-06-16,NK-HUARACHE-GRN-S,423196.76,2118,SUPP-03,256,59,Economy,1270,1906,2025-06-13,2025-06-17,0,1,0,1482,2118,Flexible,1,0
Baseline_v2,DC-Tokyo-JP,Retail-EMEA,2025-03-17,NK-AIR-FORCE-BLU-12,224561.78,1739,SUPP-04,238,40,Standard,1043,1565,2025-03-13,2025-03-21,0,0,1,1217,1739,Capped,0,1
OP_Plan_2025,DC-Laakdal-BE,Wholesale-NA,2025-09-08,NK-JORDAN-PPL-7,766893.51,2969,SUPP-01,318,196,Priority,1781,2672,2025-09-02,2025-09-11,0,1,0,2078,2969,Fixed,0,0
Baseline_v2,DC-Memphis-TN,DTC-eComm-EMEA,2025-06-30,NK-BLAZER-WHT-XXL,170385.27,811,SUPP-05,78,59,Express,486,729,2025-06-25,2025-07-04,1,1,0,567,811,Flexible,0,0
Baseline_v1,DC-Johannesburg-ZA,DTC-eComm-EMEA,2025-06-02,NK-ZOOM-PEGA-GRY-XXL,109768.7,694,SUPP-05,50,54,Express,416,624,2025-05-30,2025-06-04,1,1,1,485,694,Flexible,0,0
Baseline_v1,DC-Laakdal-BE,DTC-eComm-EMEA,2025-09-22,NK-LEBRON-GRY-10,287511.45,1556,SUPP-04,87,47,Standard,933,1400,2025-09-16,2025-09-26,0,1,0,1089,1556,Capped,1,0
Consensus_v2,DC-Sao-Paulo-BR,Wholesale-APAC,2025-12-08,NK-FREE-RN-GRY-L,15503.94,110,SUPP-01,8,3,Economy,66,99,2025-12-05,2025-12-10,1,0,0,77,110,Capped,0,0
Baseline_v1,DC-Johannesburg-ZA,DTC-Stores-EMEA,2025-12-22,NK-FREE-RN-GRY-XL,312956.58,1233,SUPP-03,94,52,Priority,739,1109,2025-12-19,2025-12-25,0,0,1,863,1233,Capped,1,0
