Supplier.[Supplier Location],Version.[Version Name],Activity2.[Activity2],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast,W Procurement Forecast From Purchase Orders,W Procurement Forecast Infinite Node,W Procurement Forecast Non Infinite Node,W Procurement Forecast Override,W Procurement Forecast within Lead Time For Starts,W Procurement Total Requirements,W Published Procurement Forecast
SUP-Mexico-MTY,Baseline_v1,Replenishment,DC-Dubai-UAE,2025-W41,NK-LEBRON-20-BLK-12,2976,1516,1582,1394,25,1957,3210,3001
SUP-Bangladesh-DAC,Baseline_v2,Replenishment,DC-Dubai-UAE,2025-W44,NK-REACT-INF-RD-11,533,323,280,253,42,209,602,575
SUP-China-SHH,Consensus_v2,Make-to-Order,DC-Shanghai-CN,2025-W05,NK-TEE-PRO-BLK-M,1113,468,724,389,40,777,1243,1153
SUP-China-SHH,Baseline_v1,Safety-Stock-Build,DC-Shanghai-CN,2025-W03,NK-SOCK-PERF-3PK-L,3247,2279,1844,1403,132,1523,3809,3379
SUP-Vietnam-HCM,Baseline_v1,Seasonal-Build,DC-Shanghai-CN,2025-W06,NK-CAP-LEGACY-WHT,2036,911,1811,225,4,1211,2372,2040
SUP-China-SHH,Baseline_v1,Make-to-Order,DC-Tokyo-JP,2025-W02,NK-JORDAN-1-WHT-10,3981,2969,2959,1022,201,1447,4217,4182
SUP-China-SHH,Baseline_v2,Replenishment,DC-Dubai-UAE,2025-W43,NK-JACKET-WIND-RED-XL,620,480,447,173,18,284,692,638
SUP-China-GZH,Baseline_v2,Replenishment,DC-Sao-Paulo-BR,2025-W52,NK-SHORT-DRI-NVY-L,4962,3674,2894,2068,461,1719,5818,5423
SUP-Mexico-MTY,Baseline_v2,Make-to-Stock,DC-Memphis-TN,2025-W25,NK-AIR-MAX-270-BLK-10,588,329,334,254,40,257,703,628
SUP-Vietnam-HCM,Baseline_v1,Seasonal-Build,DC-Tokyo-JP,2025-W34,NK-KD-15-GLD-11,4629,2753,3437,1192,354,1712,5209,4983
SUP-China-SHH,OP_Plan_2025,Safety-Stock-Build,DC-Memphis-TN,2025-W29,NK-FREE-RN-5-BLU-9,2495,1503,1479,1016,19,1523,2665,2514
SUP-Indonesia-JKT,Baseline_v2,Make-to-Stock,DC-Memphis-TN,2025-W11,NK-CAP-LEGACY-WHT,201,81,148,53,7,91,228,208
SUP-Bangladesh-DAC,Consensus_v1,Safety-Stock-Build,DC-Portland-OR,2025-W04,NK-ZOOM-PEGA-GRY-10,477,323,426,51,11,170,509,488
SUP-Cambodia-PNH,Baseline_v2,Seasonal-Build,DC-Shanghai-CN,2025-W35,NK-LEBRON-20-BLK-12,4984,3616,3718,1266,152,2738,5627,5136
SUP-Bangladesh-DAC,Consensus_v1,Seasonal-Build,DC-Dubai-UAE,2025-W38,NK-JACKET-WIND-RED-XL,2722,1613,1553,1169,105,1866,2959,2827
SUP-India-CHN,OP_Plan_2025,Seasonal-Build,DC-Memphis-TN,2025-W37,NK-TEE-PRO-BLK-M,2994,2013,1724,1270,185,1285,3518,3179
SUP-India-CHN,Baseline_v2,Safety-Stock-Build,DC-Memphis-TN,2025-W52,NK-SOCK-PERF-3PK-L,404,221,244,160,26,201,440,430
SUP-India-CHN,Baseline_v1,Make-to-Stock,DC-Portland-OR,2025-W09,NK-JORDAN-1-WHT-10,3739,2207,2431,1308,147,1808,4366,3886
SUP-India-CHN,Consensus_v2,Replenishment,DC-Sao-Paulo-BR,2025-W34,NK-KD-15-GLD-11,3503,2014,2108,1395,294,1104,4151,3797
SUP-Mexico-MTY,Consensus_v2,Make-to-Stock,DC-Sao-Paulo-BR,2025-W37,NK-KD-15-GLD-11,4496,2943,3352,1144,29,2281,4822,4525
SUP-India-CHN,Consensus_v2,Seasonal-Build,DC-Memphis-TN,2025-W31,NK-SHORT-DRI-NVY-L,400,173,314,86,2,131,420,402
SUP-India-CHN,Baseline_v2,Safety-Stock-Build,DC-Portland-OR,2025-W31,NK-KD-15-GLD-11,4959,3909,4348,611,388,2191,5513,5347
SUP-Bangladesh-DAC,Baseline_v1,Make-to-Stock,DC-Portland-OR,2025-W50,NK-DUNK-LOW-GRN-9,3892,2529,2540,1352,80,1356,4445,3972
SUP-Mexico-MTY,Consensus_v2,Make-to-Order,DC-Laakdal-BE,2025-W10,NK-JACKET-WIND-RED-XL,4033,2085,3597,436,242,2149,4687,4275
SUP-Indonesia-JKT,Consensus_v2,Safety-Stock-Build,DC-Tokyo-JP,2025-W44,NK-LEGGING-EPIC-BLK-S,731,467,393,338,27,380,810,758
SUP-Vietnam-HCM,Baseline_v2,Seasonal-Build,DC-Tokyo-JP,2025-W21,NK-KD-15-GLD-11,4457,2934,2738,1719,363,2872,5245,4820
SUP-Vietnam-HCM,Consensus_v2,Seasonal-Build,DC-Tokyo-JP,2025-W18,NK-AIR-FORCE-1-WHT-9,3791,2362,2169,1622,20,1622,4408,3811
SUP-India-CHN,Consensus_v1,Seasonal-Build,DC-Tokyo-JP,2025-W33,NK-REACT-INF-RD-11,832,574,688,144,17,417,978,849
SUP-Cambodia-PNH,Baseline_v2,Make-to-Order,DC-Portland-OR,2025-W44,NK-AIR-MAX-90-NVY-8,1628,1019,1262,366,142,902,1895,1770
SUP-India-CHN,Consensus_v1,Replenishment,DC-Memphis-TN,2025-W41,NK-SOCK-PERF-3PK-L,4430,2264,2558,1872,389,2494,4858,4819
SUP-Bangladesh-DAC,Baseline_v1,Make-to-Order,DC-Tokyo-JP,2025-W20,NK-AIR-HUARACHE-BLK-10,3962,2463,1989,1973,301,1244,4603,4263
SUP-China-SHH,Consensus_v2,Make-to-Order,DC-Dubai-UAE,2025-W35,NK-AIR-MAX-90-NVY-8,3830,2821,2635,1195,192,1340,4242,4022
SUP-India-CHN,Consensus_v2,Make-to-Stock,DC-Sao-Paulo-BR,2025-W07,NK-ZOOM-PEGA-GRY-10,3382,1355,1932,1450,9,1240,3643,3391
SUP-Mexico-MTY,Baseline_v2,Make-to-Order,DC-Laakdal-BE,2025-W31,NK-LEGGING-EPIC-BLK-S,2648,1825,1434,1214,59,1538,2801,2707
SUP-Cambodia-PNH,Consensus_v2,Replenishment,DC-Tokyo-JP,2025-W36,NK-BACKPACK-BRSLA-BLK,2591,1116,1356,1235,86,1590,2995,2677
SUP-China-SHH,OP_Plan_2025,Make-to-Stock,DC-Portland-OR,2025-W06,NK-ZOOM-PEGA-GRY-10,2283,994,1342,941,136,1356,2739,2419
SUP-Indonesia-JKT,OP_Plan_2025,Make-to-Stock,DC-Shanghai-CN,2025-W10,NK-CAP-LEGACY-WHT,2581,1216,1998,583,255,1545,2996,2836
SUP-China-GZH,OP_Plan_2025,Replenishment,DC-Memphis-TN,2025-W35,NK-SHORT-DRI-NVY-L,993,675,729,264,58,575,1181,1051
SUP-China-SHH,Baseline_v2,Safety-Stock-Build,DC-Dubai-UAE,2025-W39,NK-LEBRON-20-BLK-12,1282,706,877,405,61,607,1526,1343
SUP-China-SHH,Baseline_v1,Safety-Stock-Build,DC-Portland-OR,2025-W36,NK-METCON-8-GRY-10,2583,1484,2045,538,197,939,2948,2780
SUP-Mexico-MTY,Baseline_v2,Make-to-Stock,DC-Tokyo-JP,2025-W06,NK-METCON-8-GRY-10,414,171,252,162,11,254,495,425
SUP-Indonesia-JKT,Baseline_v1,Replenishment,DC-Sao-Paulo-BR,2025-W06,NK-JACKET-WIND-RED-XL,950,704,492,458,58,498,1046,1008
SUP-China-SHH,Baseline_v1,Seasonal-Build,DC-Memphis-TN,2025-W21,NK-CAP-LEGACY-WHT,304,202,269,35,17,205,321,321
SUP-China-SHH,Baseline_v1,Seasonal-Build,DC-Portland-OR,2025-W33,NK-CAP-LEGACY-WHT,895,617,515,380,30,379,1066,925
SUP-India-CHN,Baseline_v2,Safety-Stock-Build,DC-Memphis-TN,2025-W43,NK-JORDAN-1-WHT-10,3656,2073,1957,1699,249,1893,4376,3905
SUP-India-CHN,Baseline_v2,Make-to-Stock,DC-Memphis-TN,2025-W10,NK-AIR-FORCE-1-WHT-9,4000,2478,2980,1020,90,2555,4457,4090
SUP-China-GZH,Baseline_v2,Replenishment,DC-Laakdal-BE,2025-W49,NK-LEBRON-20-BLK-12,4337,2533,3468,869,126,2666,4626,4463
SUP-Cambodia-PNH,Consensus_v2,Safety-Stock-Build,DC-Dubai-UAE,2025-W27,NK-JORDAN-1-WHT-10,4386,2710,3523,863,330,1347,4688,4716
SUP-China-SHH,Baseline_v1,Make-to-Order,DC-Shanghai-CN,2025-W35,NK-FREE-RN-5-BLU-9,2888,2022,2088,800,159,975,3181,3047
SUP-China-SHH,Baseline_v2,Safety-Stock-Build,DC-Shanghai-CN,2025-W41,NK-ZOOM-PEGA-GRY-10,1985,1152,1308,677,18,945,2142,2003
SUP-China-SHH,Consensus_v2,Safety-Stock-Build,DC-Memphis-TN,2025-W07,NK-SOCK-PERF-3PK-L,1526,801,1155,371,29,1005,1721,1555
SUP-Mexico-MTY,OP_Plan_2025,Safety-Stock-Build,DC-Laakdal-BE,2025-W37,NK-ZOOM-PEGA-GRY-10,4314,3289,2634,1680,424,1537,4660,4738
SUP-Vietnam-HCM,OP_Plan_2025,Seasonal-Build,DC-Tokyo-JP,2025-W30,NK-TEE-PRO-BLK-M,4033,3174,3398,635,47,2403,4428,4080
SUP-China-GZH,Baseline_v1,Safety-Stock-Build,DC-Portland-OR,2025-W20,NK-AIR-FORCE-1-WHT-9,1750,1397,1560,190,114,615,2017,1864
SUP-Bangladesh-DAC,Consensus_v1,Safety-Stock-Build,DC-Shanghai-CN,2025-W11,NK-AIR-FORCE-1-WHT-9,1206,665,1072,134,40,504,1432,1246
SUP-Indonesia-JKT,OP_Plan_2025,Safety-Stock-Build,DC-Memphis-TN,2025-W33,NK-REACT-INF-RD-11,4143,2418,2664,1479,204,2615,4558,4347
SUP-Bangladesh-DAC,Baseline_v1,Seasonal-Build,DC-Shanghai-CN,2025-W11,NK-JACKET-WIND-RED-XL,881,475,599,282,65,493,1007,946
SUP-Cambodia-PNH,Baseline_v1,Safety-Stock-Build,DC-Shanghai-CN,2025-W01,NK-KD-15-GLD-11,1419,585,1129,290,15,604,1490,1434
SUP-India-CHN,Consensus_v1,Make-to-Stock,DC-Tokyo-JP,2025-W46,NK-SPORTS-BRA-INDY-M,548,236,348,200,47,211,605,595
SUP-Vietnam-HCM,Consensus_v1,Replenishment,DC-Sao-Paulo-BR,2025-W27,NK-AIR-FORCE-1-WHT-9,4703,3520,3792,911,370,2661,5121,5073
SUP-Bangladesh-DAC,Consensus_v1,Safety-Stock-Build,DC-Portland-OR,2025-W25,NK-KD-15-GLD-11,2345,1369,1983,362,128,1060,2805,2473
SUP-Indonesia-JKT,Consensus_v1,Make-to-Stock,DC-Shanghai-CN,2025-W20,NK-TEE-PRO-BLK-M,3751,2877,2295,1456,321,1563,4450,4072
SUP-Bangladesh-DAC,OP_Plan_2025,Seasonal-Build,DC-Shanghai-CN,2025-W40,NK-BACKPACK-BRSLA-BLK,4821,3329,2998,1823,399,1989,5693,5220
SUP-China-GZH,Baseline_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W04,NK-KD-15-GLD-11,1361,551,935,426,41,734,1489,1402
SUP-Bangladesh-DAC,Baseline_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W11,NK-SHORT-DRI-NVY-L,4410,2346,2805,1605,436,2427,4981,4846
SUP-India-CHN,Baseline_v1,Seasonal-Build,DC-Portland-OR,2025-W04,NK-REACT-INF-RD-11,4307,2621,2263,2044,358,2324,4596,4665
SUP-China-SHH,Baseline_v1,Replenishment,DC-Memphis-TN,2025-W52,NK-KD-15-GLD-11,4180,3141,3046,1134,216,1973,4587,4396
SUP-China-SHH,Consensus_v2,Seasonal-Build,DC-Laakdal-BE,2025-W22,NK-METCON-8-GRY-10,4750,2745,3873,877,303,2710,5081,5053
SUP-Vietnam-HCM,Baseline_v2,Make-to-Stock,DC-Tokyo-JP,2025-W12,NK-FREE-RN-5-BLU-9,4762,3048,3797,965,241,2636,5050,5003
SUP-Mexico-MTY,Consensus_v1,Seasonal-Build,DC-Shanghai-CN,2025-W49,NK-TEE-PRO-BLK-M,419,191,255,164,40,181,470,459
SUP-Cambodia-PNH,OP_Plan_2025,Seasonal-Build,DC-Portland-OR,2025-W42,NK-AIR-HUARACHE-BLK-10,2777,2059,1443,1334,231,1770,3034,3008
SUP-China-GZH,Baseline_v1,Seasonal-Build,DC-Laakdal-BE,2025-W46,NK-LEGGING-EPIC-BLK-S,413,211,341,72,11,259,466,424
SUP-India-CHN,OP_Plan_2025,Seasonal-Build,DC-Shanghai-CN,2025-W48,NK-AIR-MAX-270-BLK-10,2362,1822,1337,1025,92,1398,2792,2454
SUP-India-CHN,Baseline_v1,Safety-Stock-Build,DC-Memphis-TN,2025-W18,NK-AIR-FORCE-1-WHT-9,4154,3248,3441,713,0,2303,4393,4154
SUP-Vietnam-HCM,Baseline_v1,Safety-Stock-Build,DC-Memphis-TN,2025-W51,NK-JACKET-WIND-RED-XL,3393,2443,2595,798,31,1827,3842,3424
SUP-Bangladesh-DAC,Baseline_v2,Replenishment,DC-Dubai-UAE,2025-W09,NK-LEBRON-20-BLK-12,3799,2146,2881,918,245,2489,4330,4044
SUP-Mexico-MTY,Baseline_v2,Make-to-Stock,DC-Portland-OR,2025-W12,NK-REACT-INF-RD-11,4393,3029,2408,1985,396,1434,4964,4789
SUP-Vietnam-HCM,Baseline_v1,Safety-Stock-Build,DC-Tokyo-JP,2025-W43,NK-CAP-LEGACY-WHT,2354,1021,1553,801,214,1467,2547,2568
SUP-Mexico-MTY,Consensus_v1,Replenishment,DC-Shanghai-CN,2025-W44,NK-JACKET-WIND-RED-XL,2138,921,1532,606,184,1146,2317,2322
SUP-China-SHH,Baseline_v1,Make-to-Order,DC-Shanghai-CN,2025-W37,NK-LEBRON-20-BLK-12,3844,1689,3289,555,4,1722,4052,3848
SUP-China-SHH,Consensus_v1,Replenishment,DC-Sao-Paulo-BR,2025-W31,NK-AIR-HUARACHE-BLK-10,884,668,564,320,13,274,1013,897
SUP-Vietnam-HCM,Consensus_v2,Make-to-Stock,DC-Tokyo-JP,2025-W50,NK-AIR-MAX-90-NVY-8,1693,1135,1256,437,61,655,2028,1754
SUP-China-GZH,Consensus_v1,Make-to-Order,DC-Laakdal-BE,2025-W50,NK-FREE-RN-5-BLU-9,1296,1025,923,373,17,440,1401,1313
SUP-India-CHN,Consensus_v1,Safety-Stock-Build,DC-Memphis-TN,2025-W09,NK-BACKPACK-BRSLA-BLK,3829,2233,2357,1472,344,1326,4569,4173
SUP-India-CHN,OP_Plan_2025,Make-to-Stock,DC-Portland-OR,2025-W13,NK-AIR-FORCE-1-WHT-9,623,400,349,274,1,428,726,624
SUP-Indonesia-JKT,Baseline_v1,Seasonal-Build,DC-Dubai-UAE,2025-W44,NK-METCON-8-GRY-10,1008,502,842,166,35,635,1165,1043
SUP-Indonesia-JKT,Consensus_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W17,NK-REACT-INF-RD-11,4187,2587,2370,1817,244,2930,4490,4431
SUP-China-SHH,OP_Plan_2025,Make-to-Stock,DC-Tokyo-JP,2025-W36,NK-LEGGING-EPIC-BLK-S,4425,2873,3220,1205,274,1683,4908,4699
SUP-Bangladesh-DAC,Consensus_v1,Safety-Stock-Build,DC-Tokyo-JP,2025-W17,NK-SPORTS-BRA-INDY-M,835,532,617,218,29,403,881,864
SUP-China-SHH,Baseline_v2,Safety-Stock-Build,DC-Dubai-UAE,2025-W11,NK-AIR-MAX-270-BLK-10,2440,1009,2166,274,231,1232,2596,2671
SUP-India-CHN,Consensus_v1,Make-to-Order,DC-Shanghai-CN,2025-W51,NK-JACKET-WIND-RED-XL,2901,1672,2153,748,266,1290,3361,3167
SUP-Vietnam-HCM,Baseline_v1,Make-to-Stock,DC-Portland-OR,2025-W32,NK-KD-15-GLD-11,3869,2435,3414,455,77,1329,4558,3946
SUP-Mexico-MTY,Baseline_v2,Seasonal-Build,DC-Dubai-UAE,2025-W43,NK-REACT-INF-RD-11,499,375,338,161,25,274,593,524
SUP-Mexico-MTY,Baseline_v1,Replenishment,DC-Laakdal-BE,2025-W50,NK-KD-15-GLD-11,3524,1599,2184,1340,126,2191,3847,3650
SUP-Cambodia-PNH,OP_Plan_2025,Seasonal-Build,DC-Tokyo-JP,2025-W09,NK-AIR-MAX-270-BLK-10,4974,2168,2491,2483,21,2172,5694,4995
SUP-Bangladesh-DAC,Consensus_v1,Replenishment,DC-Laakdal-BE,2025-W14,NK-TEE-PRO-BLK-M,4260,2749,2280,1980,207,1410,4733,4467
SUP-Cambodia-PNH,Baseline_v2,Make-to-Order,DC-Shanghai-CN,2025-W16,NK-FREE-RN-5-BLU-9,4748,2036,4187,561,248,1993,5040,4996
SUP-Mexico-MTY,Consensus_v1,Seasonal-Build,DC-Sao-Paulo-BR,2025-W39,NK-AIR-MAX-270-BLK-10,441,189,291,150,13,173,481,454
SUP-Cambodia-PNH,Baseline_v1,Make-to-Order,DC-Memphis-TN,2025-W36,NK-KD-15-GLD-11,2835,1382,1455,1380,60,1322,3299,2895
SUP-Cambodia-PNH,Consensus_v2,Seasonal-Build,DC-Laakdal-BE,2025-W23,NK-KD-15-GLD-11,2862,1874,2033,829,132,1127,3135,2994
SUP-China-SHH,Baseline_v1,Make-to-Stock,DC-Sao-Paulo-BR,2025-W49,NK-CAP-LEGACY-WHT,1502,899,921,581,20,828,1589,1522
SUP-Vietnam-HCM,OP_Plan_2025,Safety-Stock-Build,DC-Laakdal-BE,2025-W01,NK-AIR-HUARACHE-BLK-10,1525,1041,800,725,127,459,1657,1652
SUP-Vietnam-HCM,Consensus_v2,Replenishment,DC-Tokyo-JP,2025-W17,NK-AIR-MAX-270-BLK-10,1497,1103,936,561,118,983,1669,1615
SUP-India-CHN,Baseline_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W17,NK-ZOOM-PEGA-GRY-10,4664,3440,3592,1072,64,1873,5509,4728
SUP-India-CHN,Consensus_v2,Make-to-Stock,DC-Laakdal-BE,2025-W47,NK-SOCK-PERF-3PK-L,3572,1854,1936,1636,279,1991,3776,3851
SUP-India-CHN,Consensus_v2,Make-to-Order,DC-Portland-OR,2025-W09,NK-FREE-RN-5-BLU-9,1202,658,778,424,6,729,1337,1208
SUP-Mexico-MTY,Consensus_v2,Make-to-Order,DC-Laakdal-BE,2025-W28,NK-FREE-RN-5-BLU-9,2466,1854,1445,1021,167,1339,2698,2633
SUP-China-GZH,OP_Plan_2025,Make-to-Stock,DC-Portland-OR,2025-W10,NK-METCON-8-GRY-10,3295,1838,2587,708,65,2161,3601,3360
SUP-Bangladesh-DAC,Baseline_v2,Replenishment,DC-Portland-OR,2025-W03,NK-JACKET-WIND-RED-XL,679,458,405,274,61,431,785,740
SUP-Indonesia-JKT,Baseline_v1,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W28,NK-SOCK-PERF-3PK-L,1785,1360,1082,703,129,1162,1885,1914
SUP-Bangladesh-DAC,Baseline_v1,Make-to-Order,DC-Tokyo-JP,2025-W06,NK-LEBRON-20-BLK-12,3910,2379,3481,429,49,1199,4557,3959
SUP-Mexico-MTY,Consensus_v1,Seasonal-Build,DC-Shanghai-CN,2025-W13,NK-LEBRON-20-BLK-12,284,146,229,55,14,124,314,298
SUP-India-CHN,Consensus_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W29,NK-JORDAN-1-WHT-10,4420,2962,3177,1243,366,2397,4834,4786
SUP-Mexico-MTY,Baseline_v1,Seasonal-Build,DC-Shanghai-CN,2025-W50,NK-AIR-HUARACHE-BLK-10,4699,3013,3239,1460,28,2672,5344,4727
SUP-Indonesia-JKT,Baseline_v1,Make-to-Order,DC-Laakdal-BE,2025-W45,NK-LEGGING-EPIC-BLK-S,4821,2074,3115,1706,108,1823,5163,4929
SUP-Vietnam-HCM,Consensus_v2,Safety-Stock-Build,DC-Portland-OR,2025-W47,NK-JORDAN-1-WHT-10,905,655,682,223,35,515,985,940
SUP-Vietnam-HCM,Baseline_v2,Replenishment,DC-Memphis-TN,2025-W15,NK-SHORT-DRI-NVY-L,3511,2373,3062,449,174,1376,3710,3685
SUP-Bangladesh-DAC,Consensus_v1,Seasonal-Build,DC-Shanghai-CN,2025-W45,NK-AIR-HUARACHE-BLK-10,565,288,464,101,25,293,629,590
SUP-Vietnam-HCM,Consensus_v2,Replenishment,DC-Shanghai-CN,2025-W48,NK-METCON-8-GRY-10,3436,1562,3085,351,181,1569,3947,3617
SUP-China-SHH,Consensus_v2,Replenishment,DC-Tokyo-JP,2025-W34,NK-BACKPACK-BRSLA-BLK,1445,830,1065,380,10,793,1729,1455
SUP-Mexico-MTY,Consensus_v2,Make-to-Stock,DC-Laakdal-BE,2025-W39,NK-BACKPACK-BRSLA-BLK,4808,2926,4283,525,364,1753,5392,5172
SUP-India-CHN,Consensus_v2,Safety-Stock-Build,DC-Memphis-TN,2025-W43,NK-DUNK-LOW-GRN-9,980,613,792,188,48,298,1030,1028
SUP-China-GZH,Consensus_v2,Seasonal-Build,DC-Tokyo-JP,2025-W10,NK-ZOOM-PEGA-GRY-10,1744,1289,1380,364,16,822,1838,1760
SUP-Vietnam-HCM,Consensus_v1,Safety-Stock-Build,DC-Shanghai-CN,2025-W30,NK-REACT-INF-RD-11,1586,886,1376,210,157,504,1846,1743
SUP-India-CHN,Consensus_v1,Make-to-Order,DC-Shanghai-CN,2025-W01,NK-CAP-LEGACY-WHT,476,275,290,186,29,331,527,505
SUP-India-CHN,Baseline_v2,Make-to-Stock,DC-Portland-OR,2025-W22,NK-AIR-FORCE-1-WHT-9,4530,3401,4030,500,12,2880,5267,4542
SUP-China-SHH,Baseline_v2,Replenishment,DC-Laakdal-BE,2025-W45,NK-LEBRON-20-BLK-12,3461,1695,2327,1134,248,1818,3855,3709
SUP-Cambodia-PNH,Baseline_v2,Safety-Stock-Build,DC-Tokyo-JP,2025-W29,NK-KD-15-GLD-11,4491,3496,3848,643,188,2749,5036,4679
SUP-Cambodia-PNH,Consensus_v1,Seasonal-Build,DC-Portland-OR,2025-W03,NK-JACKET-WIND-RED-XL,1093,582,920,173,22,359,1158,1115
SUP-China-GZH,Baseline_v2,Make-to-Stock,DC-Portland-OR,2025-W23,NK-SPORTS-BRA-INDY-M,4092,3004,2589,1503,283,2489,4698,4375
SUP-Bangladesh-DAC,OP_Plan_2025,Make-to-Stock,DC-Memphis-TN,2025-W40,NK-LEBRON-20-BLK-12,2241,930,1235,1006,171,672,2493,2412
SUP-China-SHH,Consensus_v1,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W41,NK-AIR-MAX-90-NVY-8,1177,475,794,383,103,377,1269,1280
SUP-Vietnam-HCM,Consensus_v1,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W16,NK-KD-15-GLD-11,3843,2474,3298,545,314,1541,4191,4157
SUP-Vietnam-HCM,Baseline_v1,Replenishment,DC-Memphis-TN,2025-W22,NK-BACKPACK-BRSLA-BLK,3372,1454,2420,952,239,1237,3935,3611
SUP-Vietnam-HCM,Consensus_v1,Safety-Stock-Build,DC-Portland-OR,2025-W41,NK-AIR-FORCE-1-WHT-9,3087,1600,2425,662,234,1052,3479,3321
SUP-Bangladesh-DAC,Baseline_v1,Make-to-Stock,DC-Memphis-TN,2025-W41,NK-JORDAN-1-WHT-10,3546,2431,2427,1119,326,2049,4111,3872
SUP-Cambodia-PNH,OP_Plan_2025,Make-to-Stock,DC-Portland-OR,2025-W03,NK-JACKET-WIND-RED-XL,1857,992,1655,202,159,1077,2152,2016
SUP-Bangladesh-DAC,Baseline_v2,Make-to-Stock,DC-Dubai-UAE,2025-W34,NK-ZOOM-PEGA-GRY-10,2632,1460,2270,362,4,1613,2812,2636
SUP-India-CHN,Consensus_v1,Seasonal-Build,DC-Dubai-UAE,2025-W35,NK-LEGGING-EPIC-BLK-S,2883,1731,2255,628,154,1488,3212,3037
SUP-Mexico-MTY,Consensus_v1,Make-to-Stock,DC-Tokyo-JP,2025-W08,NK-LEBRON-20-BLK-12,2103,951,1779,324,33,891,2299,2136
SUP-Mexico-MTY,Consensus_v2,Make-to-Stock,DC-Portland-OR,2025-W12,NK-AIR-HUARACHE-BLK-10,1701,1316,1429,272,167,937,1849,1868
SUP-Mexico-MTY,Consensus_v1,Make-to-Stock,DC-Dubai-UAE,2025-W50,NK-SOCK-PERF-3PK-L,1118,631,977,141,48,728,1275,1166
SUP-China-SHH,Consensus_v1,Seasonal-Build,DC-Shanghai-CN,2025-W29,NK-CAP-LEGACY-WHT,1800,1207,951,849,36,814,2155,1836
SUP-Indonesia-JKT,OP_Plan_2025,Safety-Stock-Build,DC-Dubai-UAE,2025-W41,NK-AIR-MAX-90-NVY-8,4718,3613,2380,2338,212,3259,5026,4930
SUP-Indonesia-JKT,Baseline_v1,Replenishment,DC-Memphis-TN,2025-W24,NK-DUNK-LOW-GRN-9,1111,703,646,465,57,366,1267,1168
SUP-Vietnam-HCM,Consensus_v2,Safety-Stock-Build,DC-Laakdal-BE,2025-W20,NK-REACT-INF-RD-11,3510,1606,2590,920,60,2352,3721,3570
SUP-Vietnam-HCM,Baseline_v1,Replenishment,DC-Shanghai-CN,2025-W02,NK-ZOOM-PEGA-GRY-10,3312,1679,1676,1636,319,1325,3813,3631
SUP-China-GZH,Consensus_v2,Make-to-Order,DC-Dubai-UAE,2025-W25,NK-TEE-PRO-BLK-M,4744,2098,2665,2079,448,2820,5609,5192
SUP-China-SHH,Baseline_v1,Seasonal-Build,DC-Dubai-UAE,2025-W42,NK-FREE-RN-5-BLU-9,2159,876,1582,577,54,1036,2577,2213
SUP-Cambodia-PNH,Baseline_v1,Safety-Stock-Build,DC-Sao-Paulo-BR,2025-W15,NK-ZOOM-PEGA-GRY-10,4889,2154,2460,2429,211,1647,5682,5100
SUP-Indonesia-JKT,Baseline_v2,Safety-Stock-Build,DC-Tokyo-JP,2025-W40,NK-LEBRON-20-BLK-12,2285,1575,1150,1135,134,1246,2617,2419
SUP-India-CHN,Consensus_v1,Make-to-Order,DC-Laakdal-BE,2025-W50,NK-REACT-INF-RD-11,1156,868,919,237,1,461,1250,1157
SUP-Cambodia-PNH,Consensus_v1,Safety-Stock-Build,DC-Laakdal-BE,2025-W13,NK-SHORT-DRI-NVY-L,1233,787,909,324,45,534,1458,1278
SUP-Vietnam-HCM,Baseline_v1,Seasonal-Build,DC-Dubai-UAE,2025-W43,NK-LEBRON-20-BLK-12,2107,1275,1267,840,208,877,2455,2315
SUP-India-CHN,Baseline_v2,Replenishment,DC-Laakdal-BE,2025-W38,NK-KD-15-GLD-11,1490,815,1278,212,99,916,1666,1589
SUP-China-GZH,Baseline_v2,Make-to-Stock,DC-Tokyo-JP,2025-W04,NK-LEBRON-20-BLK-12,2324,1533,2032,292,14,1463,2542,2338
SUP-Indonesia-JKT,Baseline_v1,Make-to-Stock,DC-Dubai-UAE,2025-W38,NK-SOCK-PERF-3PK-L,469,279,408,61,4,284,521,473
SUP-China-GZH,Consensus_v1,Safety-Stock-Build,DC-Tokyo-JP,2025-W01,NK-ZOOM-PEGA-GRY-10,2678,1913,2348,330,199,1575,3143,2877
SUP-Mexico-MTY,Baseline_v1,Seasonal-Build,DC-Sao-Paulo-BR,2025-W46,NK-AIR-MAX-90-NVY-8,4637,2677,3344,1293,118,2768,4922,4755
SUP-Vietnam-HCM,Consensus_v1,Seasonal-Build,DC-Laakdal-BE,2025-W39,NK-JORDAN-1-WHT-10,1768,957,1241,527,166,1150,1883,1934
SUP-Bangladesh-DAC,Baseline_v1,Seasonal-Build,DC-Sao-Paulo-BR,2025-W37,NK-TEE-PRO-BLK-M,4322,2899,3609,713,371,2590,4822,4693
