Version.[Version Name],Location.[Location],Item.[Item],12W Accuracy,12W MAPE,4W Accuracy,4W MAPE,8W Accuracy,8W MAPE
OP_Plan_2025,DC-Laakdal-BE,NK-LEBRON-OGR-10,64.06%,45.40%,94.21%,8.44%,70.11%,44.95%
Consensus_v1,DC-Memphis-TN,NK-LEBRON-OGR-13,56.14%,58.21%,85.86%,20.06%,72.05%,43.01%
Consensus_v2,DC-Portland-OR,NK-KD-WHT-12,75.05%,33.92%,78.84%,30.86%,66.44%,41.78%
OP_Plan_2025,DC-Shanghai-CN,NK-DUNK-BLK-12,77.14%,37.37%,77.35%,30.18%,66.52%,53.35%
Baseline_v2,DC-Dubai-UAE,NK-VAPORFLY-RED-7,73.48%,44.07%,76.48%,33.42%,72.77%,46.20%
OP_Plan_2025,DC-Memphis-TN,NK-REACT-GLD-13,67.13%,43.69%,72.44%,37.37%,81.77%,23.38%
Consensus_v1,DC-Sao-Paulo-BR,NK-ZOOM-PEGA-BLU-7,61.89%,51.82%,86.47%,17.85%,63.68%,44.51%
Consensus_v1,DC-Portland-OR,NK-LEBRON-RED-7,57.79%,60.00%,78.12%,28.22%,65.31%,59.63%
Consensus_v2,DC-Johannesburg-ZA,NK-JORDAN-OGR-7,60.09%,60.00%,90.06%,17.26%,86.84%,22.01%
Consensus_v1,DC-Dubai-UAE,NK-AIR-FORCE-PPL-11,76.40%,35.33%,78.43%,37.93%,68.58%,52.43%
OP_Plan_2025,DC-Johannesburg-ZA,NK-ALPHAFLY-NVY-9,53.38%,60.00%,77.22%,39.49%,73.72%,45.46%
Consensus_v2,DC-Tokyo-JP,NK-KD-GRN-11,53.37%,56.95%,72.87%,44.70%,79.13%,35.08%
Consensus_v1,DC-Memphis-TN,NK-REACT-BLK-10,71.16%,37.81%,80.12%,27.39%,71.09%,48.13%
Baseline_v1,DC-Portland-OR,NK-ZOOM-PEGA-GRN-13,52.63%,60.00%,87.19%,21.25%,68.89%,37.72%
Baseline_v2,DC-Memphis-TN,NK-DUNK-GRN-10,52.22%,60.00%,87.35%,15.26%,68.64%,42.54%
Consensus_v2,DC-Memphis-TN,NK-ALPHAFLY-GRN-12,79.45%,31.08%,74.88%,37.29%,64.96%,52.26%
Baseline_v2,DC-Portland-OR,NK-JACKET-WIND-RED-XL,62.03%,58.09%,73.01%,34.19%,77.56%,28.20%
Baseline_v2,DC-Johannesburg-ZA,NK-HOODIE-CLUB-GRY-S,50.41%,60.00%,78.30%,38.13%,79.58%,30.59%
Consensus_v2,DC-Johannesburg-ZA,NK-SPORTS-BRA-INDY-BLK-S,64.74%,60.00%,91.47%,14.94%,68.56%,51.97%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-JACKET-WIND-GRY-XL,73.29%,33.78%,79.36%,34.09%,69.00%,47.23%
OP_Plan_2025,DC-Portland-OR,NK-HUARACHE-PPL-9,73.45%,40.50%,90.81%,12.21%,75.15%,42.35%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-JORDAN-NVY-13,68.47%,54.43%,86.07%,17.60%,65.94%,42.79%
Baseline_v2,DC-Memphis-TN,NK-BLAZER-BLK-11,81.74%,23.00%,82.62%,20.96%,68.41%,51.67%
Consensus_v2,DC-Shanghai-CN,NK-JACKET-WIND-GRY-S,61.37%,60.00%,84.77%,24.98%,78.02%,28.86%
Consensus_v2,DC-Laakdal-BE,NK-BLAZER-GLD-13,73.99%,43.06%,91.51%,14.48%,83.65%,19.73%
Consensus_v1,DC-Memphis-TN,NK-CORTEZ-GRY-12,70.59%,49.07%,82.82%,25.80%,65.24%,49.75%
Consensus_v2,DC-Tokyo-JP,NK-TEE-PRO-WHT-XL,75.41%,30.87%,88.00%,14.42%,78.11%,30.94%
Baseline_v2,DC-Laakdal-BE,NK-VAPORFLY-GRN-10,51.69%,60.00%,88.64%,14.34%,67.86%,52.12%
Baseline_v2,DC-Dubai-UAE,NK-JORDAN-BLU-13,72.25%,45.71%,72.53%,38.28%,78.55%,27.66%
Baseline_v2,DC-Sao-Paulo-BR,NK-METCON-NVY-7,60.50%,57.68%,90.14%,14.89%,73.45%,34.22%
Consensus_v2,DC-Shanghai-CN,NK-REACT-OGR-11,70.56%,42.77%,85.76%,23.37%,87.96%,21.19%
Baseline_v1,DC-Shanghai-CN,NK-HUARACHE-GLD-11,68.30%,49.22%,74.72%,36.55%,83.83%,23.12%
OP_Plan_2025,DC-Laakdal-BE,NK-AIR-MAX-GLD-7,58.74%,60.00%,79.69%,24.69%,62.63%,60.00%
OP_Plan_2025,DC-Memphis-TN,NK-KD-WHT-11,64.78%,52.43%,73.29%,45.72%,67.86%,45.83%
Baseline_v1,DC-Shanghai-CN,NK-METCON-OGR-10,65.89%,49.88%,83.11%,21.62%,64.10%,58.77%
Consensus_v2,DC-Memphis-TN,NK-AIR-FORCE-GRN-13,71.02%,51.41%,75.65%,38.13%,65.52%,56.92%
Baseline_v2,DC-Portland-OR,NK-KD-GRN-8,81.19%,26.75%,72.83%,37.09%,69.17%,51.56%
OP_Plan_2025,DC-Shanghai-CN,NK-DUNK-WHT-9,69.83%,46.38%,78.17%,28.25%,84.18%,19.42%
OP_Plan_2025,DC-Memphis-TN,NK-ZOOM-PEGA-GRN-12,71.24%,51.13%,81.46%,26.12%,85.40%,17.72%
OP_Plan_2025,DC-Johannesburg-ZA,NK-REACT-OGR-13,54.64%,60.00%,90.12%,15.56%,74.86%,44.95%
Consensus_v2,DC-Sao-Paulo-BR,NK-TEE-PRO-NVY-L,53.65%,59.82%,82.67%,30.90%,77.82%,31.26%
Consensus_v1,DC-Portland-OR,NK-AIR-MAX-BLU-11,57.28%,60.00%,74.04%,41.80%,76.17%,42.61%
Baseline_v2,DC-Dubai-UAE,NK-KD-RED-9,65.51%,44.82%,88.28%,17.89%,64.12%,52.92%
Consensus_v2,DC-Laakdal-BE,NK-VAPORFLY-GRN-9,73.98%,35.76%,76.97%,28.98%,84.41%,23.01%
Consensus_v2,DC-Dubai-UAE,NK-ALPHAFLY-PPL-13,55.27%,60.00%,73.20%,44.81%,67.24%,44.40%
Consensus_v2,DC-Memphis-TN,NK-VAPORFLY-GRY-9,80.29%,30.27%,74.90%,40.05%,66.20%,45.74%
Consensus_v2,DC-Sao-Paulo-BR,NK-LEBRON-GRY-10,67.24%,49.10%,72.62%,33.92%,74.06%,45.28%
Consensus_v2,DC-Shanghai-CN,NK-HUARACHE-GRN-13,55.98%,55.31%,81.14%,23.69%,73.47%,34.95%
Consensus_v2,DC-Shanghai-CN,NK-ZOOM-PEGA-OGR-10,78.70%,32.20%,78.36%,30.03%,78.71%,28.05%
Baseline_v1,DC-Sao-Paulo-BR,NK-JORDAN-BLK-8,81.47%,23.80%,79.29%,35.51%,85.56%,19.73%
Consensus_v1,DC-Johannesburg-ZA,NK-DUNK-OGR-11,75.55%,43.53%,80.36%,32.19%,83.33%,23.14%
OP_Plan_2025,DC-Memphis-TN,NK-CORTEZ-OGR-9,81.49%,29.63%,90.48%,14.31%,87.15%,18.65%
Baseline_v1,DC-Shanghai-CN,NK-REACT-BLU-10,67.91%,48.66%,92.28%,11.24%,66.22%,40.79%
Consensus_v1,DC-Shanghai-CN,NK-ZOOM-PEGA-PPL-12,59.49%,60.00%,76.82%,33.08%,87.31%,17.79%
OP_Plan_2025,DC-Shanghai-CN,NK-KD-BLU-10,78.15%,33.10%,86.99%,18.07%,68.61%,53.09%
Baseline_v1,DC-Tokyo-JP,NK-REACT-BLU-12,56.12%,60.00%,88.54%,16.64%,85.54%,23.77%
Consensus_v2,DC-Sao-Paulo-BR,NK-JORDAN-RED-11,71.64%,39.57%,82.84%,30.67%,78.49%,27.44%
Baseline_v1,DC-Sao-Paulo-BR,NK-AIR-MAX-GRN-13,70.57%,47.57%,91.68%,11.12%,83.76%,22.21%
Baseline_v1,DC-Laakdal-BE,NK-ALPHAFLY-NVY-9,80.03%,34.41%,76.89%,28.19%,69.90%,47.91%
Consensus_v2,DC-Tokyo-JP,NK-CORTEZ-GRY-7,55.41%,60.00%,92.67%,11.65%,84.73%,18.33%
Baseline_v2,DC-Dubai-UAE,NK-METCON-GRY-8,50.58%,60.00%,74.96%,36.24%,82.86%,25.49%
Baseline_v1,DC-Laakdal-BE,NK-METCON-PPL-9,75.76%,29.35%,91.74%,11.36%,85.68%,23.66%
Baseline_v1,DC-Johannesburg-ZA,NK-ALPHAFLY-NVY-13,67.30%,41.13%,78.47%,37.10%,64.93%,56.90%
Consensus_v2,DC-Laakdal-BE,NK-JORDAN-GRN-12,59.60%,60.00%,82.78%,23.77%,77.56%,30.93%
OP_Plan_2025,DC-Dubai-UAE,NK-VAPORFLY-GRY-9,81.65%,28.92%,92.18%,13.51%,70.59%,41.30%
Consensus_v2,DC-Tokyo-JP,NK-METCON-GRN-12,68.35%,50.50%,78.56%,31.25%,68.96%,51.94%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-HUARACHE-GLD-7,78.13%,33.75%,74.16%,45.11%,79.40%,34.97%
OP_Plan_2025,DC-Laakdal-BE,NK-AIR-MAX-GLD-9,55.27%,58.25%,92.95%,10.43%,65.58%,48.35%
Consensus_v2,DC-Memphis-TN,NK-BLAZER-RED-8,62.30%,56.26%,88.16%,15.89%,75.32%,31.16%
Consensus_v2,DC-Dubai-UAE,NK-FREE-RN-OGR-10,58.14%,59.32%,89.10%,16.39%,78.49%,26.73%
Consensus_v1,DC-Johannesburg-ZA,NK-VAPORFLY-WHT-9,65.14%,54.86%,92.87%,9.58%,74.21%,37.92%
Consensus_v2,DC-Shanghai-CN,NK-HUARACHE-GLD-12,51.58%,60.00%,82.91%,26.57%,75.96%,41.16%
Baseline_v1,DC-Johannesburg-ZA,NK-HUARACHE-PPL-10,59.39%,60.00%,79.79%,33.98%,76.87%,34.87%
Consensus_v1,DC-Dubai-UAE,NK-JORDAN-GRY-8,77.98%,32.95%,86.19%,17.51%,70.98%,43.67%
OP_Plan_2025,DC-Tokyo-JP,NK-AIR-FORCE-GLD-10,63.15%,60.00%,75.02%,34.09%,72.26%,40.31%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-JORDAN-NVY-12,50.05%,60.00%,79.12%,35.38%,86.83%,22.29%
OP_Plan_2025,DC-Laakdal-BE,NK-REACT-NVY-12,75.61%,38.96%,72.93%,46.64%,68.67%,50.10%
OP_Plan_2025,DC-Portland-OR,NK-ALPHAFLY-GRN-13,74.00%,37.64%,84.64%,26.73%,72.51%,38.28%
Consensus_v2,DC-Laakdal-BE,NK-KD-OGR-12,79.23%,32.57%,80.32%,30.62%,62.26%,59.69%
Baseline_v1,DC-Dubai-UAE,NK-AIR-MAX-PPL-9,81.72%,30.93%,86.67%,21.92%,75.78%,41.11%
Baseline_v1,DC-Sao-Paulo-BR,NK-ZOOM-PEGA-NVY-8,53.94%,60.00%,78.79%,31.64%,77.01%,28.19%
Consensus_v2,DC-Shanghai-CN,NK-KD-GLD-11,59.80%,60.00%,87.93%,17.60%,79.50%,27.99%
Baseline_v1,DC-Dubai-UAE,NK-JORDAN-WHT-11,68.63%,44.63%,91.72%,14.48%,73.21%,37.28%
Consensus_v1,DC-Tokyo-JP,NK-FREE-RN-RED-10,74.38%,45.29%,83.77%,21.09%,78.79%,26.02%
OP_Plan_2025,DC-Johannesburg-ZA,NK-REACT-BLU-10,59.96%,60.00%,86.65%,18.75%,63.86%,52.24%
Consensus_v1,DC-Laakdal-BE,NK-BLAZER-BLU-13,55.36%,60.00%,91.36%,13.38%,76.55%,29.62%
Consensus_v1,DC-Tokyo-JP,NK-VAPORFLY-BLU-13,63.25%,52.82%,75.12%,31.33%,67.43%,57.17%
Consensus_v2,DC-Memphis-TN,NK-HUARACHE-RED-12,61.99%,56.42%,83.22%,21.44%,83.72%,23.15%
Consensus_v2,DC-Tokyo-JP,NK-REACT-OGR-13,62.34%,52.89%,94.63%,7.37%,86.99%,18.65%
OP_Plan_2025,DC-Laakdal-BE,NK-REACT-BLU-13,61.40%,60.00%,84.24%,20.50%,68.42%,53.79%
Consensus_v2,DC-Sao-Paulo-BR,NK-JORDAN-WHT-10,67.85%,45.28%,73.33%,37.49%,69.03%,55.13%
Baseline_v1,DC-Johannesburg-ZA,NK-REACT-BLU-13,73.51%,36.57%,75.46%,41.47%,67.39%,54.44%
Consensus_v1,DC-Tokyo-JP,NK-AIR-MAX-GLD-13,72.75%,47.53%,82.61%,28.49%,65.85%,58.45%
Consensus_v2,DC-Portland-OR,NK-DUNK-BLU-12,67.58%,40.03%,80.13%,29.31%,62.99%,60.00%
Baseline_v2,DC-Shanghai-CN,NK-REACT-GRY-9,53.00%,60.00%,72.79%,48.48%,86.68%,20.09%
Baseline_v1,DC-Laakdal-BE,NK-FREE-RN-GRY-12,79.40%,29.20%,84.02%,24.58%,73.47%,41.48%
Baseline_v1,DC-Johannesburg-ZA,NK-BLAZER-GRN-13,75.81%,35.94%,82.49%,25.67%,77.66%,34.74%
OP_Plan_2025,DC-Tokyo-JP,NK-ZOOM-PEGA-PPL-12,59.98%,54.17%,72.07%,44.24%,69.76%,40.65%
Baseline_v2,DC-Memphis-TN,NK-ZOOM-PEGA-OGR-13,72.01%,45.73%,86.41%,23.86%,62.50%,55.73%
Consensus_v1,DC-Laakdal-BE,NK-LEBRON-GRY-9,56.74%,60.00%,78.89%,29.88%,82.92%,23.36%
OP_Plan_2025,DC-Tokyo-JP,NK-LEBRON-GRY-11,60.94%,60.00%,94.88%,6.42%,62.06%,46.53%
Baseline_v1,DC-Memphis-TN,NK-VAPORFLY-WHT-8,69.64%,38.05%,89.69%,16.45%,81.92%,30.87%
OP_Plan_2025,DC-Tokyo-JP,NK-KD-BLK-7,67.57%,51.21%,78.45%,34.75%,62.64%,51.70%
Consensus_v2,DC-Memphis-TN,NK-AIR-FORCE-BLU-8,66.02%,56.97%,93.97%,9.13%,69.79%,37.65%
Consensus_v1,DC-Dubai-UAE,NK-TEE-PRO-RED-M,62.84%,51.11%,88.33%,18.67%,67.49%,55.86%
Consensus_v1,DC-Portland-OR,NK-LEBRON-GLD-11,51.08%,60.00%,85.41%,24.87%,76.27%,31.59%
Consensus_v2,DC-Johannesburg-ZA,NK-AIR-FORCE-GRY-7,76.29%,36.35%,76.32%,38.64%,84.54%,22.76%
Consensus_v1,DC-Sao-Paulo-BR,NK-JORDAN-GRY-9,68.03%,40.67%,82.65%,23.26%,69.88%,41.38%
Consensus_v2,DC-Portland-OR,NK-JACKET-WIND-WHT-S,70.15%,36.80%,78.24%,32.59%,69.39%,39.19%
Baseline_v1,DC-Dubai-UAE,NK-VAPORFLY-BLK-7,78.66%,33.07%,76.35%,39.49%,80.59%,30.20%
Baseline_v2,DC-Shanghai-CN,NK-LEBRON-GLD-13,54.16%,60.00%,93.63%,7.96%,86.20%,23.40%
Baseline_v1,DC-Memphis-TN,NK-HUARACHE-BLK-11,79.96%,32.16%,92.87%,12.60%,72.98%,38.54%
OP_Plan_2025,DC-Laakdal-BE,NK-LEGGING-EPIC-WHT-L,50.14%,60.00%,83.36%,23.84%,78.45%,34.96%
Consensus_v2,DC-Laakdal-BE,NK-ZOOM-PEGA-GLD-9,80.21%,26.95%,76.20%,32.53%,65.37%,55.60%
Consensus_v1,DC-Shanghai-CN,NK-ZOOM-PEGA-RED-11,65.23%,44.04%,74.41%,38.36%,72.01%,48.12%
Baseline_v1,DC-Dubai-UAE,NK-AIR-MAX-NVY-9,77.21%,30.25%,73.20%,44.50%,72.83%,46.01%
Consensus_v2,DC-Memphis-TN,NK-ZOOM-PEGA-GRY-13,62.63%,60.00%,86.90%,21.98%,81.60%,22.47%
Consensus_v2,DC-Laakdal-BE,NK-ZOOM-PEGA-PPL-10,56.37%,60.00%,79.26%,32.91%,72.27%,45.14%
OP_Plan_2025,DC-Tokyo-JP,NK-REACT-GRY-9,53.20%,60.00%,87.34%,21.45%,82.33%,26.97%
Baseline_v1,DC-Shanghai-CN,NK-BLAZER-GRN-12,65.77%,49.38%,79.76%,24.52%,65.23%,50.35%
Consensus_v2,DC-Johannesburg-ZA,NK-CORTEZ-RED-10,71.68%,39.28%,72.23%,41.06%,87.05%,19.57%
Baseline_v2,DC-Tokyo-JP,NK-ZOOM-PEGA-WHT-9,74.65%,42.71%,83.99%,28.59%,65.26%,42.04%
Consensus_v2,DC-Johannesburg-ZA,NK-ZOOM-PEGA-WHT-8,57.14%,60.00%,82.02%,25.16%,70.89%,47.84%
Baseline_v1,DC-Sao-Paulo-BR,NK-CORTEZ-GRN-7,50.76%,60.00%,78.90%,33.51%,87.33%,21.64%
Baseline_v2,DC-Shanghai-CN,NK-HUARACHE-BLK-12,72.72%,48.07%,78.70%,28.21%,65.96%,59.22%
Consensus_v2,DC-Memphis-TN,NK-HOODIE-CLUB-RED-M,57.65%,60.00%,73.37%,42.68%,77.14%,41.02%
Baseline_v1,DC-Memphis-TN,NK-ZOOM-PEGA-BLU-9,69.83%,52.42%,84.91%,25.14%,67.33%,53.43%
Consensus_v1,DC-Portland-OR,NK-HUARACHE-WHT-12,62.42%,60.00%,85.30%,18.94%,83.09%,26.75%
Baseline_v2,DC-Portland-OR,NK-AIR-FORCE-GLD-12,51.94%,60.00%,93.79%,8.71%,80.85%,29.17%
OP_Plan_2025,DC-Memphis-TN,NK-ZOOM-PEGA-NVY-8,59.66%,60.00%,83.44%,22.16%,63.16%,53.40%
Consensus_v1,DC-Dubai-UAE,NK-AIR-FORCE-GRY-12,67.50%,42.52%,94.13%,9.23%,86.15%,22.95%
Consensus_v2,DC-Shanghai-CN,NK-LEBRON-GRN-7,81.84%,27.54%,83.07%,29.43%,79.53%,26.24%
OP_Plan_2025,DC-Portland-OR,NK-HOODIE-CLUB-BLK-M,66.72%,44.31%,86.64%,20.03%,72.57%,48.59%
Consensus_v1,DC-Tokyo-JP,NK-LEBRON-GRY-12,56.08%,60.00%,85.65%,17.85%,78.18%,39.03%
Consensus_v2,DC-Sao-Paulo-BR,NK-CORTEZ-GLD-9,77.34%,37.71%,81.09%,33.50%,87.14%,18.46%
OP_Plan_2025,DC-Memphis-TN,NK-VAPORFLY-BLU-8,77.37%,35.35%,82.54%,29.14%,86.96%,21.62%
Consensus_v1,DC-Dubai-UAE,NK-HUARACHE-RED-8,77.14%,37.43%,77.26%,35.94%,67.77%,44.89%
Consensus_v1,DC-Memphis-TN,NK-BACKPACK-BRSLA-BLK,78.84%,27.34%,77.65%,32.22%,85.26%,17.69%
Baseline_v1,DC-Sao-Paulo-BR,NK-SHORT-DRI-BLK-M,74.14%,45.29%,73.03%,44.67%,71.66%,40.67%
Baseline_v1,DC-Memphis-TN,NK-SPORTS-BRA-INDY-BLK-L,63.30%,60.00%,86.31%,24.59%,72.04%,43.17%
Baseline_v1,DC-Dubai-UAE,NK-JORDAN-OGR-8,51.25%,59.56%,93.12%,8.68%,75.15%,33.11%
Consensus_v2,DC-Memphis-TN,NK-REACT-PPL-9,68.03%,46.57%,87.63%,16.51%,73.22%,43.70%
Baseline_v2,DC-Shanghai-CN,NK-ZOOM-PEGA-OGR-12,62.83%,60.00%,75.31%,36.00%,85.50%,24.76%
Baseline_v1,DC-Laakdal-BE,NK-BLAZER-BLK-10,77.36%,29.98%,76.71%,36.21%,66.84%,46.39%
Consensus_v2,DC-Memphis-TN,NK-ZOOM-PEGA-BLK-12,76.46%,28.93%,78.79%,36.64%,73.96%,32.73%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-LEBRON-OGR-10,59.04%,59.60%,87.06%,16.71%,84.77%,23.20%
OP_Plan_2025,DC-Tokyo-JP,NK-AIR-MAX-GRN-10,61.59%,60.00%,84.57%,23.44%,77.35%,28.01%
Baseline_v1,DC-Tokyo-JP,NK-ZOOM-PEGA-GRY-10,57.18%,60.00%,77.30%,27.26%,80.96%,33.89%
Consensus_v2,DC-Sao-Paulo-BR,NK-SPORTS-BRA-INDY-RED-L,54.01%,60.00%,92.61%,12.50%,68.57%,42.83%
Consensus_v1,DC-Memphis-TN,NK-AIR-FORCE-PPL-9,63.26%,60.00%,89.54%,15.96%,65.89%,48.72%
Baseline_v1,DC-Laakdal-BE,NK-METCON-GRN-13,61.57%,60.00%,83.90%,21.91%,78.34%,32.26%
Baseline_v2,DC-Johannesburg-ZA,NK-TEE-PRO-GRY-M,81.12%,27.74%,84.88%,25.22%,80.42%,25.52%
Baseline_v2,DC-Laakdal-BE,NK-JORDAN-OGR-13,77.22%,32.05%,74.26%,43.30%,65.17%,44.41%
Consensus_v2,DC-Johannesburg-ZA,NK-LEBRON-BLU-13,77.41%,36.61%,76.49%,33.08%,70.73%,52.32%
Consensus_v2,DC-Memphis-TN,NK-ALPHAFLY-GRY-11,66.21%,48.39%,82.01%,27.51%,70.11%,44.52%
Consensus_v2,DC-Johannesburg-ZA,NK-HUARACHE-PPL-7,81.05%,27.72%,72.58%,46.71%,62.30%,60.00%
OP_Plan_2025,DC-Johannesburg-ZA,NK-FREE-RN-NVY-9,66.15%,55.21%,90.79%,14.07%,87.14%,15.83%
Consensus_v1,DC-Portland-OR,NK-CORTEZ-GRY-7,59.91%,55.08%,81.12%,24.15%,84.50%,20.07%
Consensus_v2,DC-Portland-OR,NK-JORDAN-WHT-9,78.99%,25.36%,77.76%,35.03%,76.87%,39.32%
Consensus_v2,DC-Dubai-UAE,NK-BACKPACK-BRSLA-WHT,79.92%,29.28%,72.46%,39.51%,66.98%,47.78%
Baseline_v2,DC-Dubai-UAE,NK-CORTEZ-WHT-10,71.93%,39.28%,73.57%,44.14%,69.43%,44.62%
OP_Plan_2025,DC-Johannesburg-ZA,NK-DUNK-RED-13,53.72%,60.00%,80.77%,34.40%,82.41%,28.86%
Baseline_v1,DC-Memphis-TN,NK-LEBRON-RED-9,52.16%,60.00%,78.39%,29.51%,73.23%,47.87%
Baseline_v1,DC-Shanghai-CN,NK-KD-GRY-7,68.63%,41.49%,84.60%,27.53%,76.44%,30.95%
Baseline_v2,DC-Laakdal-BE,NK-FREE-RN-BLK-7,67.59%,52.31%,85.93%,21.25%,81.24%,29.60%
Baseline_v2,DC-Dubai-UAE,NK-AIR-MAX-GLD-8,69.17%,48.53%,73.74%,46.51%,69.73%,38.00%
Consensus_v1,DC-Shanghai-CN,NK-HUARACHE-WHT-9,71.51%,44.17%,88.19%,16.82%,76.66%,34.33%
Consensus_v1,DC-Johannesburg-ZA,NK-METCON-GRN-13,54.95%,60.00%,85.75%,24.51%,86.62%,16.91%
Consensus_v2,DC-Sao-Paulo-BR,NK-HUARACHE-PPL-10,63.06%,44.67%,76.66%,36.24%,80.23%,31.79%
Baseline_v1,DC-Memphis-TN,NK-KD-GRN-10,69.75%,49.72%,84.47%,27.40%,67.73%,52.77%
Consensus_v2,DC-Tokyo-JP,NK-LEGGING-EPIC-GRY-M,75.83%,41.49%,89.08%,15.24%,85.14%,18.58%
Consensus_v2,DC-Tokyo-JP,NK-HOODIE-CLUB-GRY-S,70.41%,39.81%,88.64%,13.69%,77.33%,35.55%
OP_Plan_2025,DC-Laakdal-BE,NK-HUARACHE-BLU-11,57.95%,55.87%,76.58%,40.43%,81.21%,22.71%
Baseline_v2,DC-Memphis-TN,NK-ZOOM-PEGA-NVY-12,69.11%,48.10%,92.96%,9.95%,73.04%,35.83%
Consensus_v1,DC-Dubai-UAE,NK-AIR-MAX-OGR-10,69.74%,49.80%,90.93%,15.96%,76.15%,31.49%
Baseline_v1,DC-Dubai-UAE,NK-BLAZER-NVY-13,60.68%,60.00%,89.73%,14.96%,67.36%,54.83%
Baseline_v2,DC-Johannesburg-ZA,NK-KD-WHT-9,57.95%,60.00%,87.33%,21.19%,73.81%,41.33%
Baseline_v2,DC-Portland-OR,NK-FREE-RN-RED-13,66.00%,56.81%,84.31%,20.19%,82.38%,25.57%
Consensus_v1,DC-Dubai-UAE,NK-JORDAN-OGR-10,56.72%,59.23%,85.58%,20.84%,74.21%,31.39%
OP_Plan_2025,DC-Memphis-TN,NK-CAP-LEGACY-WHT,52.26%,60.00%,87.07%,17.54%,66.15%,43.88%
Consensus_v1,DC-Johannesburg-ZA,NK-REACT-PPL-8,50.25%,60.00%,88.57%,19.38%,73.60%,44.44%
OP_Plan_2025,DC-Shanghai-CN,NK-DUNK-GLD-10,75.26%,34.26%,84.32%,22.18%,71.20%,48.88%
Consensus_v1,DC-Tokyo-JP,NK-LEBRON-BLK-13,53.28%,60.00%,80.15%,29.84%,86.47%,23.35%
Baseline_v1,DC-Sao-Paulo-BR,NK-LEBRON-GLD-11,61.03%,57.56%,80.02%,30.22%,82.66%,30.01%
OP_Plan_2025,DC-Portland-OR,NK-BLAZER-GLD-11,62.31%,56.29%,78.81%,31.27%,72.69%,44.60%
Consensus_v1,DC-Johannesburg-ZA,NK-JORDAN-PPL-8,52.67%,57.33%,88.53%,18.80%,75.39%,31.92%
Consensus_v1,DC-Dubai-UAE,NK-BLAZER-BLK-7,53.79%,60.00%,92.28%,9.83%,78.50%,33.31%
Baseline_v1,DC-Sao-Paulo-BR,NK-HUARACHE-OGR-7,68.30%,56.80%,77.61%,30.47%,70.73%,48.29%
OP_Plan_2025,DC-Dubai-UAE,NK-REACT-BLU-10,56.52%,60.00%,92.04%,12.79%,72.71%,45.09%
Baseline_v2,DC-Portland-OR,NK-LEBRON-PPL-12,79.86%,29.47%,72.51%,48.58%,80.11%,29.78%
Baseline_v1,DC-Laakdal-BE,NK-HUARACHE-BLK-7,80.45%,32.57%,74.63%,42.09%,79.65%,33.86%
Consensus_v2,DC-Portland-OR,NK-TEE-PRO-GRY-S,58.10%,50.53%,82.91%,26.26%,78.34%,34.94%
OP_Plan_2025,DC-Laakdal-BE,NK-FREE-RN-NVY-9,54.08%,60.00%,89.31%,15.81%,84.73%,20.19%
Consensus_v1,DC-Johannesburg-ZA,NK-CAP-LEGACY-NVY,62.41%,60.00%,91.66%,14.42%,74.12%,32.23%
Consensus_v2,DC-Portland-OR,NK-HUARACHE-WHT-12,73.78%,44.81%,76.78%,28.45%,74.46%,33.43%
OP_Plan_2025,DC-Laakdal-BE,NK-DUNK-GRN-12,81.91%,27.78%,73.70%,37.48%,82.90%,24.97%
Baseline_v2,DC-Sao-Paulo-BR,NK-LEBRON-GRY-12,64.86%,57.41%,80.06%,28.38%,63.79%,51.49%
Baseline_v2,DC-Tokyo-JP,NK-REACT-GRN-13,61.94%,60.00%,93.37%,9.46%,83.62%,27.94%
Baseline_v2,DC-Shanghai-CN,NK-AIR-FORCE-RED-9,66.67%,46.99%,73.12%,41.63%,73.08%,41.16%
Baseline_v2,DC-Portland-OR,NK-JORDAN-NVY-12,61.10%,55.80%,76.77%,37.82%,72.05%,44.65%
Consensus_v2,DC-Memphis-TN,NK-AIR-MAX-GLD-13,67.33%,54.06%,85.92%,20.55%,82.13%,30.58%
Consensus_v2,DC-Memphis-TN,NK-AIR-FORCE-BLU-12,56.88%,60.00%,78.23%,28.76%,70.16%,40.13%
Baseline_v1,DC-Johannesburg-ZA,NK-DUNK-BLK-8,64.20%,52.64%,89.15%,16.65%,77.20%,29.19%
Consensus_v2,DC-Tokyo-JP,NK-LEBRON-PPL-10,60.38%,53.94%,87.92%,16.40%,86.42%,21.49%
Consensus_v2,DC-Memphis-TN,NK-METCON-WHT-11,74.90%,41.58%,85.69%,19.44%,79.21%,35.11%
Consensus_v1,DC-Sao-Paulo-BR,NK-CORTEZ-PPL-9,51.08%,60.00%,80.47%,28.50%,62.81%,50.42%
OP_Plan_2025,DC-Sao-Paulo-BR,NK-KD-GLD-9,78.42%,30.11%,72.90%,43.37%,70.40%,51.47%
Consensus_v1,DC-Shanghai-CN,NK-ZOOM-PEGA-GLD-13,72.62%,48.75%,87.34%,15.91%,81.45%,31.31%
OP_Plan_2025,DC-Tokyo-JP,NK-LEBRON-PPL-11,64.91%,54.14%,93.47%,10.97%,79.53%,24.63%
