Activity3.[Activity3],Demand Type.[Demand Type],Supplier.[Supplier Location],Version.[Version Name],Activity1.[Activity1],Activity2.[Activity2],Documents.[OrderlineID],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast Due to Forecast,W Procurement Forecast Due to Orders,W Procurement Forecast Intermediate with Demand Type Input To R,W Procurement Forecast With Demand Type,W Procurement Forecast With Demand Type within Lead Time
Finished-Goods,FIRM,SUP-Indonesia-JKT,OP_Plan_2025,Make,Safety-Stock-Build,ORD-2025-000133,DC-Shanghai-CN,2025-W04,NK-HUARACHE-BLU-11,155,876,1031,1033,772
Raw-Material,FORECAST,SUP-Mexico-MTY,Baseline_v2,Buy,Seasonal-Build,ORD-2025-000134,DC-Memphis-TN,2025-W08,NK-ZOOM-PEGA-BLK-13,2861,660,3521,3425,1966
Raw-Material,FIRM,SUP-Vietnam-HCM,Baseline_v2,Transfer,Safety-Stock-Build,ORD-2025-000135,DC-Memphis-TN,2025-W33,NK-REACT-RED-7,225,1129,1354,1397,905
Semi-Finished,FIRM,SUP-Cambodia-PNH,Consensus_v1,Transfer,Replenishment,ORD-2025-000136,DC-Memphis-TN,2025-W09,NK-BLAZER-RED-7,290,1152,1442,1447,813
Raw-Material,FORECAST,SUP-Bangladesh-DAC,OP_Plan_2025,Transfer,Make-to-Stock,ORD-2025-000137,DC-Portland-OR,2025-W11,NK-REACT-GRY-8,386,37,423,427,314
Packaging,FIRM,SUP-Mexico-MTY,OP_Plan_2025,Buy,Safety-Stock-Build,ORD-2025-000138,DC-Laakdal-BE,2025-W09,NK-ALPHAFLY-BLK-13,761,3306,4067,4231,3259
Packaging,FIRM,SUP-China-GZH,OP_Plan_2025,Make,Make-to-Order,ORD-2025-000139,DC-Laakdal-BE,2025-W44,NK-KD-GLD-9,389,1487,1876,1938,1423
Packaging,FORECAST,SUP-Mexico-MTY,Consensus_v2,Make,Safety-Stock-Build,ORD-2025-000140,DC-Tokyo-JP,2025-W13,NK-KD-RED-10,918,67,985,971,823
Packaging,FORECAST,SUP-Mexico-MTY,Consensus_v2,Transfer,Seasonal-Build,ORD-2025-000141,DC-Sao-Paulo-BR,2025-W28,NK-BLAZER-NVY-13,849,134,983,1014,507
Raw-Material,FIRM,SUP-Mexico-MTY,Baseline_v1,Buy,Safety-Stock-Build,ORD-2025-000142,DC-Dubai-UAE,2025-W52,NK-HUARACHE-PPL-12,1166,4376,5542,5731,3910
Finished-Goods,FIRM,SUP-Vietnam-HCM,Baseline_v1,Transfer,Replenishment,ORD-2025-000143,DC-Shanghai-CN,2025-W23,NK-KD-RED-11,141,540,681,672,417
Finished-Goods,FIRM,SUP-Indonesia-JKT,Baseline_v2,Buy,Replenishment,ORD-2025-000144,DC-Dubai-UAE,2025-W24,NK-METCON-WHT-13,960,3153,4113,4068,2747
WIP,FIRM,SUP-Indonesia-JKT,Consensus_v2,Make,Make-to-Order,ORD-2025-000145,DC-Portland-OR,2025-W02,NK-VAPORFLY-BLU-8,219,1040,1259,1198,663
Packaging,FORECAST,SUP-China-GZH,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000146,DC-Tokyo-JP,2025-W34,NK-METCON-OGR-10,1326,292,1618,1682,1329
Semi-Finished,FIRM,SUP-Cambodia-PNH,Consensus_v2,Make,Seasonal-Build,ORD-2025-000147,DC-Shanghai-CN,2025-W06,NK-REACT-RED-11,201,755,956,1000,651
Raw-Material,FIRM,SUP-Vietnam-HCM,Baseline_v2,Make,Replenishment,ORD-2025-000148,DC-Memphis-TN,2025-W31,NK-VAPORFLY-GLD-9,438,2579,3017,2884,2230
Packaging,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Transfer,Make-to-Stock,ORD-2025-000149,DC-Tokyo-JP,2025-W39,NK-AIR-MAX-PPL-9,923,66,989,965,542
Semi-Finished,FIRM,SUP-China-GZH,Consensus_v1,Make,Seasonal-Build,ORD-2025-000150,DC-Tokyo-JP,2025-W22,NK-VAPORFLY-NVY-7,940,2885,3825,3936,2525
Semi-Finished,FIRM,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Make-to-Order,ORD-2025-000151,DC-Memphis-TN,2025-W45,NK-ALPHAFLY-BLU-8,250,635,885,892,658
Semi-Finished,FIRM,SUP-Indonesia-JKT,Consensus_v2,Make,Safety-Stock-Build,ORD-2025-000152,DC-Johannesburg-ZA,2025-W18,NK-FREE-RN-GLD-7,67,300,367,372,251
Finished-Goods,FORECAST,SUP-Mexico-MTY,Baseline_v1,Buy,Make-to-Stock,ORD-2025-000153,DC-Memphis-TN,2025-W48,NK-KD-GLD-11,2607,698,3305,3455,1888
WIP,FIRM,SUP-Bangladesh-DAC,Baseline_v1,Transfer,Make-to-Stock,ORD-2025-000154,DC-Shanghai-CN,2025-W23,NK-ZOOM-PEGA-RED-11,1377,3327,4704,4856,3270
WIP,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Transfer,Replenishment,ORD-2025-000155,DC-Johannesburg-ZA,2025-W17,NK-BLAZER-BLU-10,592,175,767,732,375
Packaging,FORECAST,SUP-China-GZH,Consensus_v1,Make,Seasonal-Build,ORD-2025-000156,DC-Tokyo-JP,2025-W30,NK-ZOOM-PEGA-NVY-11,1553,207,1760,1808,1322
Finished-Goods,FIRM,SUP-Vietnam-HCM,Baseline_v2,Transfer,Make-to-Order,ORD-2025-000157,DC-Laakdal-BE,2025-W49,NK-VAPORFLY-GRY-12,102,201,303,296,227
Packaging,FORECAST,SUP-China-GZH,Baseline_v2,Make,Seasonal-Build,ORD-2025-000158,DC-Tokyo-JP,2025-W32,NK-METCON-GRN-13,2495,513,3008,3148,2454
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Consensus_v1,Make,Safety-Stock-Build,ORD-2025-000159,DC-Memphis-TN,2025-W25,NK-AIR-FORCE-GRY-7,2396,256,2652,2548,1807
Raw-Material,FIRM,SUP-Mexico-MTY,Baseline_v1,Buy,Make-to-Order,ORD-2025-000160,DC-Tokyo-JP,2025-W13,NK-METCON-OGR-7,1042,3812,4854,4617,3912
WIP,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000161,DC-Memphis-TN,2025-W02,NK-JORDAN-NVY-12,3839,829,4668,4740,2664
WIP,FORECAST,SUP-India-CHN,OP_Plan_2025,Buy,Replenishment,ORD-2025-000162,DC-Sao-Paulo-BR,2025-W19,NK-CORTEZ-BLK-9,542,155,697,672,416
Finished-Goods,FORECAST,SUP-China-SHH,OP_Plan_2025,Transfer,Make-to-Stock,ORD-2025-000163,DC-Shanghai-CN,2025-W40,NK-FREE-RN-PPL-10,3961,778,4739,4577,3027
Semi-Finished,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Make,Make-to-Order,ORD-2025-000164,DC-Memphis-TN,2025-W12,NK-REACT-BLU-9,1544,335,1879,1900,1407
WIP,FIRM,SUP-India-CHN,Baseline_v2,Transfer,Seasonal-Build,ORD-2025-000165,DC-Shanghai-CN,2025-W20,NK-VAPORFLY-PPL-12,1023,3188,4211,4318,3431
Packaging,FIRM,SUP-China-SHH,Baseline_v1,Buy,Safety-Stock-Build,ORD-2025-000166,DC-Portland-OR,2025-W07,NK-METCON-RED-13,86,702,788,762,388
Raw-Material,FORECAST,SUP-Bangladesh-DAC,Baseline_v2,Transfer,Safety-Stock-Build,ORD-2025-000167,DC-Shanghai-CN,2025-W19,NK-BLAZER-WHT-7,2919,260,3179,3243,1681
Semi-Finished,FIRM,SUP-China-SHH,Baseline_v1,Transfer,Make-to-Stock,ORD-2025-000168,DC-Memphis-TN,2025-W52,NK-LEBRON-BLK-10,499,1526,2025,2083,1418
Packaging,FORECAST,SUP-Mexico-MTY,Consensus_v1,Transfer,Safety-Stock-Build,ORD-2025-000169,DC-Laakdal-BE,2025-W39,NK-KD-WHT-7,3141,763,3904,3776,2730
Semi-Finished,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000170,DC-Laakdal-BE,2025-W19,NK-VAPORFLY-RED-12,1110,191,1301,1257,936
Semi-Finished,FORECAST,SUP-China-SHH,Baseline_v2,Make,Make-to-Order,ORD-2025-000171,DC-Laakdal-BE,2025-W01,NK-HUARACHE-PPL-13,3455,958,4413,4546,3002
Finished-Goods,FORECAST,SUP-China-SHH,OP_Plan_2025,Make,Safety-Stock-Build,ORD-2025-000172,DC-Memphis-TN,2025-W30,NK-JORDAN-NVY-13,3378,316,3694,3559,2715
Semi-Finished,FIRM,SUP-Bangladesh-DAC,Consensus_v2,Buy,Seasonal-Build,ORD-2025-000173,DC-Shanghai-CN,2025-W43,NK-DUNK-PPL-11,764,3241,4005,4108,2700
Raw-Material,FORECAST,SUP-Mexico-MTY,Consensus_v1,Transfer,Seasonal-Build,ORD-2025-000174,DC-Memphis-TN,2025-W26,NK-HUARACHE-WHT-11,2355,345,2700,2773,1470
Semi-Finished,FORECAST,SUP-Mexico-MTY,Baseline_v1,Transfer,Replenishment,ORD-2025-000175,DC-Portland-OR,2025-W21,NK-VAPORFLY-OGR-10,3024,476,3500,3375,2544
Finished-Goods,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Make-to-Order,ORD-2025-000176,DC-Shanghai-CN,2025-W43,NK-ALPHAFLY-NVY-13,963,58,1021,1012,537
Raw-Material,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Make,Make-to-Order,ORD-2025-000177,DC-Memphis-TN,2025-W16,NK-HUARACHE-OGR-10,2363,186,2549,2545,1420
WIP,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000178,DC-Shanghai-CN,2025-W26,NK-CORTEZ-BLU-10,2402,175,2577,2655,1754
WIP,FORECAST,SUP-India-CHN,Baseline_v1,Make,Safety-Stock-Build,ORD-2025-000179,DC-Memphis-TN,2025-W49,NK-AIR-MAX-BLU-10,2960,204,3164,3214,1788
Packaging,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Transfer,Make-to-Order,ORD-2025-000180,DC-Laakdal-BE,2025-W19,NK-LEBRON-GLD-10,525,77,602,595,463
Semi-Finished,FORECAST,SUP-Mexico-MTY,Baseline_v1,Transfer,Make-to-Order,ORD-2025-000181,DC-Memphis-TN,2025-W20,NK-ZOOM-PEGA-OGR-7,951,182,1133,1166,818
Finished-Goods,FIRM,SUP-Cambodia-PNH,OP_Plan_2025,Transfer,Seasonal-Build,ORD-2025-000182,DC-Shanghai-CN,2025-W30,NK-ALPHAFLY-PPL-7,730,3781,4511,4729,2597
Semi-Finished,FORECAST,SUP-Cambodia-PNH,OP_Plan_2025,Buy,Seasonal-Build,ORD-2025-000183,DC-Memphis-TN,2025-W04,NK-METCON-PPL-9,3871,317,4188,4112,3478
Finished-Goods,FORECAST,SUP-China-SHH,Baseline_v2,Make,Seasonal-Build,ORD-2025-000184,DC-Laakdal-BE,2025-W28,NK-DUNK-BLU-10,1693,185,1878,1889,1293
Packaging,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Make,Replenishment,ORD-2025-000185,DC-Shanghai-CN,2025-W28,NK-VAPORFLY-RED-9,2271,536,2807,2798,2203
WIP,FIRM,SUP-Cambodia-PNH,Baseline_v2,Make,Replenishment,ORD-2025-000186,DC-Portland-OR,2025-W23,NK-BLAZER-GRN-10,207,498,705,699,570
Raw-Material,FIRM,SUP-Indonesia-JKT,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000187,DC-Shanghai-CN,2025-W01,NK-CORTEZ-PPL-11,1461,3254,4715,4778,2600
Semi-Finished,FIRM,SUP-China-GZH,Baseline_v1,Buy,Seasonal-Build,ORD-2025-000188,DC-Dubai-UAE,2025-W52,NK-REACT-RED-9,180,418,598,580,363
WIP,FIRM,SUP-Cambodia-PNH,Consensus_v1,Transfer,Make-to-Order,ORD-2025-000189,DC-Johannesburg-ZA,2025-W46,NK-REACT-GRN-10,1323,2708,4031,4091,3297
Finished-Goods,FIRM,SUP-Vietnam-HCM,Baseline_v2,Make,Make-to-Stock,ORD-2025-000190,DC-Laakdal-BE,2025-W46,NK-REACT-OGR-7,412,1385,1797,1851,1235
Packaging,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Transfer,Safety-Stock-Build,ORD-2025-000191,DC-Dubai-UAE,2025-W38,NK-HUARACHE-GLD-10,3365,774,4139,4189,2914
WIP,FIRM,SUP-Vietnam-HCM,Consensus_v1,Make,Make-to-Stock,ORD-2025-000192,DC-Shanghai-CN,2025-W04,NK-JORDAN-GRN-10,295,888,1183,1159,822
Semi-Finished,FORECAST,SUP-Bangladesh-DAC,Baseline_v1,Make,Safety-Stock-Build,ORD-2025-000193,DC-Laakdal-BE,2025-W11,NK-AIR-MAX-BLK-10,3161,574,3735,3617,1908
Semi-Finished,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Safety-Stock-Build,ORD-2025-000194,DC-Laakdal-BE,2025-W17,NK-BLAZER-GRY-11,2475,169,2644,2670,1442
Finished-Goods,FORECAST,SUP-China-GZH,Baseline_v2,Buy,Seasonal-Build,ORD-2025-000195,DC-Laakdal-BE,2025-W38,NK-METCON-GRN-12,2461,451,2912,2858,1863
Packaging,FORECAST,SUP-Indonesia-JKT,Baseline_v2,Transfer,Make-to-Stock,ORD-2025-000196,DC-Portland-OR,2025-W08,NK-VAPORFLY-GRY-13,1032,204,1236,1221,818
Finished-Goods,FIRM,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Make-to-Stock,ORD-2025-000197,DC-Laakdal-BE,2025-W40,NK-VAPORFLY-GLD-7,215,1487,1702,1640,978
WIP,FORECAST,SUP-China-SHH,Consensus_v2,Buy,Make-to-Order,ORD-2025-000198,DC-Sao-Paulo-BR,2025-W21,NK-CORTEZ-GLD-9,1320,141,1461,1388,697
Semi-Finished,FORECAST,SUP-China-GZH,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000199,DC-Sao-Paulo-BR,2025-W13,NK-KD-GRY-9,1333,380,1713,1642,1175
Semi-Finished,FIRM,SUP-India-CHN,OP_Plan_2025,Buy,Make-to-Stock,ORD-2025-000200,DC-Tokyo-JP,2025-W26,NK-HUARACHE-NVY-8,333,2084,2417,2390,1805
Finished-Goods,FORECAST,SUP-Cambodia-PNH,Consensus_v2,Make,Make-to-Order,ORD-2025-000201,DC-Memphis-TN,2025-W04,NK-HUARACHE-RED-11,2748,815,3563,3640,2876
Packaging,FORECAST,SUP-Indonesia-JKT,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000202,DC-Sao-Paulo-BR,2025-W02,NK-AIR-MAX-BLK-13,2938,231,3169,3184,2595
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Consensus_v2,Transfer,Safety-Stock-Build,ORD-2025-000203,DC-Dubai-UAE,2025-W27,NK-REACT-OGR-10,2871,751,3622,3622,1987
WIP,FORECAST,SUP-China-GZH,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000204,DC-Sao-Paulo-BR,2025-W26,NK-ALPHAFLY-GLD-13,403,81,484,460,297
Raw-Material,FORECAST,SUP-China-SHH,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000205,DC-Tokyo-JP,2025-W38,NK-REACT-GRY-9,1626,361,1987,2055,1525
Finished-Goods,FORECAST,SUP-Bangladesh-DAC,Consensus_v2,Buy,Make-to-Order,ORD-2025-000206,DC-Johannesburg-ZA,2025-W28,NK-JORDAN-GRN-7,3742,626,4368,4403,2773
Raw-Material,FORECAST,SUP-China-SHH,Consensus_v1,Transfer,Replenishment,ORD-2025-000207,DC-Dubai-UAE,2025-W11,NK-AIR-MAX-RED-8,388,83,471,463,315
Packaging,FIRM,SUP-Vietnam-HCM,OP_Plan_2025,Make,Seasonal-Build,ORD-2025-000208,DC-Dubai-UAE,2025-W24,NK-VAPORFLY-PPL-7,1324,3339,4663,4700,3270
WIP,FORECAST,SUP-Indonesia-JKT,Consensus_v1,Buy,Seasonal-Build,ORD-2025-000209,DC-Dubai-UAE,2025-W42,NK-AIR-FORCE-GLD-12,673,59,732,763,492
Finished-Goods,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Buy,Replenishment,ORD-2025-000210,DC-Sao-Paulo-BR,2025-W52,NK-KD-OGR-8,1670,247,1917,1906,1616
Semi-Finished,FORECAST,SUP-China-GZH,Consensus_v1,Transfer,Make-to-Order,ORD-2025-000211,DC-Memphis-TN,2025-W32,NK-VAPORFLY-NVY-9,3307,962,4269,4282,2393
Packaging,FIRM,SUP-Cambodia-PNH,OP_Plan_2025,Transfer,Seasonal-Build,ORD-2025-000212,DC-Sao-Paulo-BR,2025-W34,NK-LEBRON-PPL-11,629,1322,1951,1962,1219
WIP,FIRM,SUP-India-CHN,OP_Plan_2025,Buy,Make-to-Stock,ORD-2025-000213,DC-Tokyo-JP,2025-W36,NK-BLAZER-PPL-10,692,3297,3989,3919,3046
Packaging,FORECAST,SUP-India-CHN,Baseline_v1,Buy,Make-to-Order,ORD-2025-000214,DC-Shanghai-CN,2025-W06,NK-LEBRON-GLD-13,2588,371,2959,2822,2147
WIP,FORECAST,SUP-Vietnam-HCM,Consensus_v1,Transfer,Make-to-Stock,ORD-2025-000215,DC-Laakdal-BE,2025-W50,NK-KD-GRN-9,4528,719,5247,5293,3341
Finished-Goods,FORECAST,SUP-Mexico-MTY,Consensus_v2,Buy,Make-to-Stock,ORD-2025-000216,DC-Portland-OR,2025-W49,NK-METCON-GLD-13,2021,396,2417,2491,1660
Raw-Material,FORECAST,SUP-Mexico-MTY,OP_Plan_2025,Make,Replenishment,ORD-2025-000217,DC-Laakdal-BE,2025-W10,NK-REACT-WHT-10,418,113,531,531,381
WIP,FIRM,SUP-China-GZH,Baseline_v2,Make,Make-to-Stock,ORD-2025-000218,DC-Johannesburg-ZA,2025-W07,NK-DUNK-BLU-11,325,1634,1959,1902,1588
Semi-Finished,FIRM,SUP-China-SHH,Baseline_v1,Transfer,Make-to-Stock,ORD-2025-000219,DC-Shanghai-CN,2025-W35,NK-HUARACHE-RED-7,1066,3211,4277,4124,3149
WIP,FIRM,SUP-China-GZH,Consensus_v1,Make,Safety-Stock-Build,ORD-2025-000220,DC-Tokyo-JP,2025-W45,NK-AIR-FORCE-GLD-11,359,1757,2116,2155,1095
Packaging,FORECAST,SUP-Indonesia-JKT,Baseline_v2,Make,Seasonal-Build,ORD-2025-000221,DC-Johannesburg-ZA,2025-W47,NK-METCON-PPL-10,2072,297,2369,2369,1843
Semi-Finished,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Buy,Make-to-Stock,ORD-2025-000222,DC-Dubai-UAE,2025-W13,NK-KD-BLU-13,1659,230,1889,1844,936
Packaging,FIRM,SUP-Mexico-MTY,Baseline_v2,Make,Make-to-Order,ORD-2025-000223,DC-Shanghai-CN,2025-W46,NK-FREE-RN-RED-9,780,3167,3947,4073,2827
Packaging,FIRM,SUP-Cambodia-PNH,Baseline_v2,Make,Make-to-Order,ORD-2025-000224,DC-Sao-Paulo-BR,2025-W11,NK-ZOOM-PEGA-GLD-11,206,1258,1464,1525,1147
Finished-Goods,FORECAST,SUP-Cambodia-PNH,Baseline_v2,Buy,Seasonal-Build,ORD-2025-000225,DC-Shanghai-CN,2025-W29,NK-FREE-RN-NVY-11,1469,86,1555,1484,885
WIP,FIRM,SUP-India-CHN,Consensus_v1,Buy,Safety-Stock-Build,ORD-2025-000226,DC-Laakdal-BE,2025-W37,NK-KD-BLK-9,599,1384,1983,1945,1509
Semi-Finished,FORECAST,SUP-India-CHN,Consensus_v1,Buy,Seasonal-Build,ORD-2025-000227,DC-Portland-OR,2025-W24,NK-REACT-RED-13,2252,327,2579,2631,1319
Raw-Material,FORECAST,SUP-Vietnam-HCM,OP_Plan_2025,Make,Safety-Stock-Build,ORD-2025-000228,DC-Johannesburg-ZA,2025-W41,NK-LEBRON-GRY-10,2754,391,3145,3233,2345
Finished-Goods,FIRM,SUP-Vietnam-HCM,Consensus_v1,Make,Make-to-Stock,ORD-2025-000229,DC-Shanghai-CN,2025-W45,NK-ZOOM-PEGA-GLD-10,92,379,471,486,387
Packaging,FIRM,SUP-Mexico-MTY,Baseline_v1,Buy,Safety-Stock-Build,ORD-2025-000230,DC-Laakdal-BE,2025-W35,NK-CORTEZ-BLU-13,1326,3180,4506,4719,2445
Raw-Material,FIRM,SUP-Bangladesh-DAC,Baseline_v1,Make,Make-to-Order,ORD-2025-000231,DC-Laakdal-BE,2025-W25,NK-HUARACHE-PPL-8,826,1918,2744,2610,1651
Packaging,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Transfer,Safety-Stock-Build,ORD-2025-000232,DC-Johannesburg-ZA,2025-W47,NK-REACT-BLU-12,2066,464,2530,2520,2109
Raw-Material,FORECAST,SUP-India-CHN,OP_Plan_2025,Buy,Make-to-Stock,ORD-2025-000233,DC-Sao-Paulo-BR,2025-W07,NK-ZOOM-PEGA-RED-8,3679,366,4045,4154,3250
WIP,FORECAST,SUP-Vietnam-HCM,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000234,DC-Johannesburg-ZA,2025-W08,NK-KD-RED-8,2593,480,3073,3087,2493
Packaging,FORECAST,SUP-Indonesia-JKT,Consensus_v2,Make,Make-to-Stock,ORD-2025-000235,DC-Sao-Paulo-BR,2025-W05,NK-HUARACHE-GLD-7,3141,856,3997,3986,2076
Raw-Material,FORECAST,SUP-Vietnam-HCM,Baseline_v2,Buy,Make-to-Order,ORD-2025-000236,DC-Laakdal-BE,2025-W45,NK-REACT-WHT-8,2982,534,3516,3412,2572
Packaging,FORECAST,SUP-Bangladesh-DAC,Consensus_v2,Buy,Make-to-Stock,ORD-2025-000237,DC-Dubai-UAE,2025-W50,NK-KD-PPL-10,2136,631,2767,2806,2198
WIP,FIRM,SUP-Indonesia-JKT,OP_Plan_2025,Make,Seasonal-Build,ORD-2025-000238,DC-Dubai-UAE,2025-W05,NK-ALPHAFLY-NVY-12,50,191,241,232,193
Packaging,FORECAST,SUP-India-CHN,Consensus_v1,Buy,Make-to-Stock,ORD-2025-000239,DC-Johannesburg-ZA,2025-W11,NK-HUARACHE-WHT-10,2377,243,2620,2635,2114
WIP,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000240,DC-Portland-OR,2025-W18,NK-ZOOM-PEGA-OGR-8,1605,378,1983,2010,1355
Semi-Finished,FIRM,SUP-Indonesia-JKT,Baseline_v1,Transfer,Replenishment,ORD-2025-000241,DC-Tokyo-JP,2025-W16,NK-REACT-PPL-11,126,800,926,956,722
WIP,FORECAST,SUP-Cambodia-PNH,Baseline_v1,Transfer,Safety-Stock-Build,ORD-2025-000242,DC-Johannesburg-ZA,2025-W50,NK-AIR-FORCE-GLD-8,1886,460,2346,2301,1337
WIP,FORECAST,SUP-India-CHN,Baseline_v2,Make,Replenishment,ORD-2025-000243,DC-Dubai-UAE,2025-W37,NK-HUARACHE-OGR-11,211,13,224,233,135
Raw-Material,FORECAST,SUP-China-GZH,Baseline_v1,Buy,Seasonal-Build,ORD-2025-000244,DC-Sao-Paulo-BR,2025-W49,NK-BLAZER-GRN-7,4180,225,4405,4252,3599
Semi-Finished,FIRM,SUP-China-SHH,OP_Plan_2025,Buy,Replenishment,ORD-2025-000245,DC-Memphis-TN,2025-W04,NK-ALPHAFLY-RED-10,75,236,311,304,218
Finished-Goods,FIRM,SUP-India-CHN,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000246,DC-Dubai-UAE,2025-W34,NK-FREE-RN-OGR-12,140,984,1124,1124,648
Raw-Material,FIRM,SUP-China-GZH,Consensus_v1,Buy,Safety-Stock-Build,ORD-2025-000247,DC-Sao-Paulo-BR,2025-W47,NK-LEBRON-OGR-9,995,3787,4782,4820,3281
Semi-Finished,FORECAST,SUP-India-CHN,Baseline_v1,Transfer,Safety-Stock-Build,ORD-2025-000248,DC-Dubai-UAE,2025-W27,NK-VAPORFLY-GRY-12,1942,430,2372,2464,1701
Packaging,FIRM,SUP-Indonesia-JKT,OP_Plan_2025,Make,Safety-Stock-Build,ORD-2025-000249,DC-Laakdal-BE,2025-W34,NK-METCON-BLU-9,547,3382,3929,4057,2096
Finished-Goods,FORECAST,SUP-India-CHN,Baseline_v1,Make,Seasonal-Build,ORD-2025-000250,DC-Portland-OR,2025-W10,NK-ALPHAFLY-WHT-12,1177,209,1386,1334,1024
Packaging,FIRM,SUP-China-SHH,Consensus_v1,Transfer,Safety-Stock-Build,ORD-2025-000251,DC-Sao-Paulo-BR,2025-W41,NK-METCON-WHT-12,261,1205,1466,1392,1051
Packaging,FORECAST,SUP-Cambodia-PNH,OP_Plan_2025,Make,Seasonal-Build,ORD-2025-000252,DC-Johannesburg-ZA,2025-W49,NK-VAPORFLY-WHT-10,3318,414,3732,3592,2219
WIP,FIRM,SUP-Mexico-MTY,Baseline_v2,Make,Make-to-Stock,ORD-2025-000253,DC-Portland-OR,2025-W04,NK-DUNK-BLK-11,398,2327,2725,2801,1972
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Baseline_v2,Transfer,Replenishment,ORD-2025-000254,DC-Dubai-UAE,2025-W01,NK-AIR-MAX-BLK-9,745,133,878,896,501
Semi-Finished,FORECAST,SUP-Bangladesh-DAC,Consensus_v2,Buy,Replenishment,ORD-2025-000255,DC-Portland-OR,2025-W49,NK-DUNK-BLK-9,2977,822,3799,3915,2225
Packaging,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Transfer,Replenishment,ORD-2025-000256,DC-Shanghai-CN,2025-W35,NK-KD-GRY-12,2400,318,2718,2719,1728
Finished-Goods,FORECAST,SUP-Vietnam-HCM,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000257,DC-Portland-OR,2025-W05,NK-REACT-PPL-9,2428,690,3118,3136,2117
WIP,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Transfer,Safety-Stock-Build,ORD-2025-000258,DC-Shanghai-CN,2025-W23,NK-DUNK-NVY-11,685,186,871,910,527
WIP,FORECAST,SUP-China-GZH,Baseline_v2,Buy,Make-to-Stock,ORD-2025-000259,DC-Shanghai-CN,2025-W11,NK-JORDAN-BLK-8,3520,402,3922,3950,3126
Raw-Material,FORECAST,SUP-Mexico-MTY,Baseline_v1,Transfer,Seasonal-Build,ORD-2025-000260,DC-Laakdal-BE,2025-W02,NK-HUARACHE-BLU-11,1498,354,1852,1772,1372
Semi-Finished,FIRM,SUP-Mexico-MTY,Consensus_v2,Buy,Make-to-Order,ORD-2025-000261,DC-Sao-Paulo-BR,2025-W10,NK-AIR-FORCE-OGR-11,1392,4157,5549,5336,4126
Finished-Goods,FORECAST,SUP-India-CHN,Baseline_v2,Make,Safety-Stock-Build,ORD-2025-000262,DC-Portland-OR,2025-W49,NK-METCON-GRY-10,411,80,491,514,277
Raw-Material,FORECAST,SUP-China-GZH,Consensus_v1,Buy,Safety-Stock-Build,ORD-2025-000263,DC-Laakdal-BE,2025-W41,NK-VAPORFLY-PPL-9,2348,530,2878,2892,2144
WIP,FORECAST,SUP-Indonesia-JKT,Baseline_v1,Buy,Make-to-Stock,ORD-2025-000264,DC-Laakdal-BE,2025-W36,NK-METCON-PPL-10,2063,164,2227,2258,1685
WIP,FIRM,SUP-Mexico-MTY,OP_Plan_2025,Transfer,Safety-Stock-Build,ORD-2025-000265,DC-Memphis-TN,2025-W30,NK-CORTEZ-GRN-7,219,703,922,932,535
Raw-Material,FIRM,SUP-China-SHH,Baseline_v1,Buy,Make-to-Order,ORD-2025-000266,DC-Johannesburg-ZA,2025-W32,NK-METCON-GRN-8,1072,2396,3468,3482,2886
